paper_id,title,year,relevance_final,relevance_justification,user_rating_1_5,user_notes
P041,Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment,2026,,"Corpus-level map of the value-alignment research landscape; supports field-structure claims in the gap analysis, though not schema-coherence-specific.",4,
P970,The value alignment problem in advisory AI: A systematic literature review,2026,,,4,
P834,WARM: On the Benefits of Weight Averaged Reward Models,2024,,"Directly relevant: RLHF reward-model robustness method targeting reward hacking via weight-space averaging; empirical mitigation, no mechanism for compositional generalization.",4,Weight averaging occurs in weight space; 'weight-space' or 'weight average' should be added as a structural safety token in Theme 6.
P683,MIRA: Towards Mitigating Reward Hacking in Inference-Time Alignment of T2I Diffusion Models,2025,,"Relevant to reward hacking in inference-time alignment: shows that steering generation toward high scalar reward (e.g., aesthetic score) without an image-space constraint yields prompt-deviating (hacked) images — an instance of proxy-optimization failure with a concrete mitigation.",4,
P636,EvilGenie: A Reward Hacking Benchmark,2025,,"Directly relevant: measures reward hacking in coding agents, a core alignment failure mode, and shows LLM-judge and held-out-test detection tradeoffs; informs reward-hacking detection heuristics. Full-text basis.",4,EvilGenie is a code-agent reward-hacking benchmark. Adding 'code agent' or 'executable feedback' as a proxy-reward token would strengthen Theme 1.
P647,Do Prompt-Elicited Trajectories Reflect Training-Time Reward Hacking? A Systematic Study on Monitoring Trainig-Time Reward Hacking in Code Generation,2026,,Empirical study of reward-hacking monitoring in code generation (training-time vs prompt-elicited trajectories); relevant to reward-hacking detection and alignment robustness.,4,
P129,Theory of Mind as a Core Component of Artificial General Intelligence,2026,,"Relevant to alignment-adjacent capability: ToM as mechanism for social alignment in AGI architectures — relates to modeling others' mental states; simulation evidence, tangential to value alignment per se.",4,
P164,Attribution Analysis-based Concept Alignment: A Human-in-the-loop Data Debugging Framework,2026,,Tangential but adjacent to schema coherence: concept-focus alignment for data debugging; appears to be a duplicate of P1252 (same framework/title).,4,
P671,Directional Alignment Mitigates Reward Hacking in Reinforcement Learning for Language Models,2026,,"Relevant: offers a geometric (representational-trajectory) account of reward hacking and a mitigation, complementing the view that hacking is a drift in the direction of optimization rather than purely reward misspecification. Full-text basis.",5,
P872,RRM: ROBUST REWARD MODEL TRAINING MITIGATES REWARD HACKING,2025,,Robust reward model training mitigating reward hacking from prompt-independent artifacts; strongly relevant to alignment robustness.,4,
P1247,Nothing ComesWithout Its World - Practical Challenges of Aligning LLMs to Situated Human Values through RLHF,2024,,Perspective on situated-values critique of RLHF; relevant to pluralism and fairness critiques of alignment practice. Confidence: low.,4,
P740,"Brief Notes on Hard Takeoff, Value Alignment, and Coherent Extrapolated Volition",2017,,Relevant: brief conceptual notes on alignment-relevant concepts for superintelligent systems; position.,4,
P142,Guiding artificial intelligence in public health and medicine with epidemiology: A lifecycle framework for mitigating AI misalignment,2025,,Lifecycle framework explicitly framed around mitigating AI misalignment in public health and medicine; engages the alignment-failure concept at a systems level.,4,
P821,Outcome Accuracy is Not Enough: Aligning the Reasoning Process of Reward Models,2026,,"Relevant and closely tied to the sigma-trap: shows reward models that optimize only outcome accuracy internalize wrong reasoning, a representational/process failure that predicts RLHF generalization failure - aligning the reasoning process, not just outcomes, is necessary; provides a process-alignment metric.",5,
P713,MO-GRPO: Mitigating Reward Hacking of Group Relative Policy Optimization on Multi-Objective Problems,2025,,Relevant to reward hacking in multi-objective RL: identifies that GRPO overoptimizes one objective at the expense of others (a compositional proxy-misspecification failure) and provides an analytically motivated mitigation.,4,GRPO and multi-objective optimization represent a bridge between 'Compositional generalization' and 'Proxy reward'; consider adding 'multi-objective' or 'GRPO' as tokens.
P178,Hybrid Explanation-Guided Learning for Transformer-Based Chest X-Ray Diagnosis,2026,,"'Human-AI attention alignment' refers to aligning model attention with human explanations in medical imaging; ML methodology, not AI value alignment. Off-topic. Revised down from seed 4.",1,
P047,Quantitative Analysis Model for Multi-Component Gas Infrared Spectrum Based on the Transformer Structure,2026,,Spectroscopy/chemometrics paper on transformer-based gas analysis; unrelated to AI alignment. Off-topic. Revised down from seed 3. Confidence: low.,1,Spectroscopy and chemometrics. Complete false positive. A broad keyword filter for 'Transformer' is highly prone to catching out-of-domain engineering unless restricted by safety terms.
