study_id,id,title,year,venue,architectures,benchmarks,seeds_runs
S001,P02_0154,"Roses are Red, Violets are Blue… But Should VQA expect Them To?",2021,2021 IEEE/CVF Conference on Computer Vision and Pattern Reco,Transformer-family; RNN-family; MLP; GNN,CLOSURE; Vision; NLP-OOD,
S002,P02_0497,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,2022,Findings of the Association for Computational Linguistics: N,Transformer-family; RNN-family; GNN,SCAN; NLP-OOD,
S003,P02_0507,I2CD: An Invertible Causal Framework for Compositional Zero-Shot Learning via Disentangle-Compose-Disentangle,2026,Proceedings of the AAAI Conference on Artificial Intelligenc,Transformer-family; MLP,NLP-OOD,
S004,P02_0510,Compositional Generalization for Neural Semantic Parsing via Span-level Supervised Attention,2021,NAACL-HLT 2021 - 2021 Conference of the North American Chapt,Transformer-family; RNN-family,CFQ; Math/MW,
S005,P02_0542,Bayesian Cross-Modal Alignment Learning for Few-Shot Out-of-Distribution Generalization,2023,Proceedings of the 37th AAAI Conference on Artificial Intell,Transformer-family; CNN; VAE/AE,Math/MW; Vision; OOD-CV,
S006,P02_0594,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,2020,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; PCFG; Math/MW; Vision,5
S007,P02_0595,Exploring Compositional Generalization (in COGS/ReCOGS_pos) by Transformers using Restricted Access Sequence Processing (RASP),2025,arXiv:benchmark,Transformer-family; RNN-family; MLP; RL-agent,COGS; SLOG,
S008,P02_0596,SLOG: A Structural Generalization Benchmark for Semantic Parsing,2023,arXiv:benchmark,Transformer-family; RNN-family; MLP,COGS; SLOG; Math/MW; Vision,
S009,P02_0597,Grounded Graph Decoding Improves Compositional Generalization in Question Answering,2021,arXiv:benchmark,Transformer-family; RNN-family; VAE/AE,SCAN; CFQ; Math/MW,
S010,P02_0598,Towards Understanding the Relationship between In-context Learning and Compositional Generalization,2024,arXiv:benchmark,Transformer-family; RNN-family; MLP; RL-agent,SCAN; COGS; CFQ; PCFG; Math/MW,2
S011,P02_0599,Compositional Generalization in Semantic Parsing: Pre-training vs. Specialized Architectures,2020,arXiv:benchmark,Transformer-family; RNN-family; CNN; GNN; RL-agent,SCAN; CFQ; CLOSURE; NLU-bench; Vision,
S012,P02_0600,Learning to Substitute Components for Compositional Generalization,2025,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; Math/MW,
S013,P02_0601,Span-based Semantic Parsing for Compositional Generalization,2020,arXiv:benchmark,Transformer-family; RNN-family; RL-agent; VAE/AE,SCAN; CLOSURE; Vision,
S014,P02_0602,Harnessing Dataset Cartography for Improved Compositional Generalization in Transformers,2023,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; Math/MW; NLU-bench,3
S015,P02_0603,Learning to Substitute Spans towards Improving Compositional Generalization,2023,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; Math/MW,
S016,P02_0604,On the Compositional Generalization Gap of In-Context Learning,2022,arXiv:benchmark,Transformer-family; RNN-family,SCAN; CFQ,
S017,P02_0605,Representational Homomorphism Predicts and Improves Compositional Generalization In Transformer Language Model,2026,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; gSCAN; Math/MW,5
S018,P02_0606,Compositional Generalization in Dependency Parsing,2021,arXiv:benchmark,Transformer-family; RNN-family,SCAN; COGS; CFQ; gSCAN; CLOSURE; Vision,
S019,P02_0607,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,2020,arXiv:benchmark,Transformer-family; RNN-family,SCAN; CFQ; Math/MW; Vision,
S020,P02_0608,*-CFQ: Analyzing the Scalability of Machine Learning on a Compositional Task,2020,arXiv:benchmark,Transformer-family; RNN-family; CNN,CFQ; Tabular,
