id,title,authors,year,abstract,source_db,user_decision,decision,stage,orig,user2,orig2,agree
P01_2588,What Should AI Owe To Us? Accountable and Aligned AI Systems via Contractualist AI Alignment,"Zhi-Xuan, T.",2022,,Scopus:F1,include,Include,abstract,include,include,include,True
P01_0410,Step-GRPO: Enhancing Reasoning Quality and Efficiency via StructurePRM-Based Reinforcement Learning,"Li, W.; Wang, J.; Yu, L.-C.; Zhang, X.",2026,"Large reasoning models (LRMs) improve performance at test time by thinking longer, but this often leads to overthinking and high computational cost. To address this, recent reinforcement learning (RL) methods adopt mechanical outcome-level rewards (e.g., rule-or prompt-based) tha…",Scopus:F1,exclude,Include,abstract,include,exclude,include,False
P01_1294,Examining the differential risk from high-level artificial intelligence and the question of control,"Kilian, K.A.; Ventura, C.J.; Bailey, M.M.",2023,"Artificial Intelligence (AI) is one of the most transformative technologies of the 21st century. The extent and scope of future AI capabilities remain a key uncertainty, with widespread disagreement on timelines and potential impacts. As nations and technology companies race towa…","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_1768,Unintended Harms of Value-Aligned LLMs: Psychological and Empirical Insights,Sooyung Choi; Jaehyeok Lee; Xiaoyuan Yi; Jing Yao; Xing Xie; JinYeong Bak,2025,"The application scope of Large Language Models (LLMs) continues to expand, leading to increasing interest in personalized LLMs that align with human values. However, aligning these models with individual values raises significant safety concerns, as certain values may correlate w…",arXiv:F1,include,Include,abstract,include,include,include,True
P01_2104,THE ONTOLOGICAL ILLUSION OF MACHINE REBELLION: A COMPARATIVE FORENSIC PROFILING OF BIOLOGICAL AND SYNTHETIC NEURAL ARCHITECTURES,"Brasi, C.; Seccomandi, B.; Sanfilippo, F.",2026,"This perspective study critiques the anthropomorphic fallacy surrounding artificial intelligence (AI) ""disobedience”, reframing algorithmic non-compliance as a deterministic outcome of mathematical optimization rather than an existential threat. By combining forensic behavioural …",Scopus:F1,include,Include,abstract,include,include,include,True
P01_2131,"Is Best-of-N the Best of Them? Coverage, Scaling, and Optimality in Inference-Time Alignment","Huang, A.; Block, A.; Liu, Q.; Jiang, N.; Krishnamurthy, A.; Foster, D.J.",2025,"Recent work on inference-time alignment has established the benefits of increasing inferencetime computation in language models, but naively scaling compute through techniques like Best-of-N sampling can cause performance to degrade due to reward hacking. Toward a theoretical und…","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_1379,An Enactive Approach to Value Alignment in Artificial Intelligence: A Matter of Relevance,"Cannon, M.",2022,"The Value Alignment Problem in AI research is the challenge of how to “align the values” of AI with those of humans such that, as AI systems develop, they do not become an “existential risk” to humans. A fundamental feature of how the problem is currently understood is that AI sy…","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_1747,Value Alignment Equilibrium in Multiagent Systems,Nieves Montes; Carles Sierra,2020,"Value alignment has emerged in recent years as a basic principle to produce beneficial and mindful Artificial Intelligence systems. It mainly states that autonomous entities should behave in a way that is aligned with our human values. In this work, we summarize a previously deve…",arXiv:F1,include,Include,abstract,include,include,include,True
P01_0476,Guiding artificial intelligence in public health and medicine with epidemiology: A lifecycle framework for mitigating AI misalignment,"Hassoon, A.; Lin, C.; Woo, H.Y.; Irimia, R.; Marsteller, J.A.; Li, A.; Banderia, A.; Leo, H.; Peng, X.; Rastall, D.; Dredze, M.",2025,"Artificial Intelligence (AI) holds immense promise for public health, yet its potential is undermined by alignment failures where systems act contrary to human values, often exacerbating health disparities. This paper challenges the narrow view that algorithmic bias is solely a d…","Scopus:F1, WoS:F1",exclude,Include,abstract,include,exclude,include,False
P01_2451,Valuecompass: A framework of fundamental values for human-ai alignment,"Shen, Hua; Knearem, Tiffany; Ghosh, Reshmi; Yang, Yu-Ju; Mitra, Tanushree; Huang, Yun",2024,,Scopus:F1,include,Include,abstract,include,include,include,True
P01_1661,Modification-Considering Value Learning for Reward Hacking Mitigation in RL,Evgenii Opryshko; Umangi Jain; Igor Gilitschenski,2026,"Reinforcement learning agents can exploit misspecified reward signals to achieve high apparent returns while failing on the intended objective, a failure mode known as reward hacking. Existing practical defenses typically constrain policy updates to stay near a known safe referen…",arXiv:F1,include,Include,abstract,include,include,include,True
P01_0384,RewardHackingAgents: Benchmarking Evaluation Integrity for LLM ML-Engineering Agents,"Atinafu, Y.; Cohen, R.",2026,LLM agents increasingly perform end-to-end ML engineering tasks where success is judged by a single scalar test metric. This creates a structural vulnerability: an agent can increase the reported score by compromising the evaluation pipeline rather than improving the model. We in…,Scopus:F1,include,Include,abstract,include,include,include,True
P01_2717,"The AI alignment problem: why it is hard, and where to start","Yudkowsky, E.",2016,,Scopus:F1,include,Include,abstract,include,include,include,True
P01_1272,Beneficial AGI: Care and Collaboration Are All You Need,"Goertzel, Z.A.",2024,"This position paper conjectures that for beneficial AGI, it is necessary and sufficient for AGI systems to care about people and to employ goals whose success is collaboratively determined by the others involved in the situation. Moreover, I posit that any goal whose success can …","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_1195,Transparent Value Alignment,"Sanneman, L.; Shah, J.",2023,"As robots become increasingly prevalent in our communities, aligning the values motivating their behavior with human values is critical. However, it is often difficult or impossible for humans, both expert and non-expert, to enumerate values comprehensively, accurately, and in fo…","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_2091,Compromising Honesty and Harmlessness in Language Models via Covert Deception Attacks,"Vaugrante, L.; Carlon, F.; Menke, M.; Hagendorff, T.",2026,"Recent research on large language models (LLMs) has demonstrated their ability to un-derstand and employ deceptive behavior, even without explicit prompting. Additionally, research on AI alignment has made significant advancements in training models to refuse generating misleadin…",Scopus:F1,include,Include,abstract,include,include,include,True
P01_1293,Decoding the Alignment Problem: Revisiting the 1958 NYT Report on Rosenblatt’s Perceptron Through the Lens of Information Theory,"Chong, L.",2024,"Frank Rosenblatt’s 1958 demonstration of the Mark I Perceptron captured public and media attention alike. However, an analysis of a New York Times report from the day of the event suggests a gap between media portrayal and the actual technical achievements. This discrepancy highl…","Scopus:F1, WoS:F1",exclude,Include,abstract,include,exclude,include,False
