removed_id,kept_id,normalized_title,removed_title,kept_title,removed_doi,kept_doi,removed_year,kept_year,removed_evidence,kept_evidence,reason
P800,P007,relative principals pluralistic alignment and the structural value alignment problem,"Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem","Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem",,10.1145/3805689.3812420,2026,2026,abstract,full-text,version pair: same study charted as preprint+published
P720,P008,understanding the process of humanai value alignment,Understanding the Process of Human-AI Value Alignment,Understanding the Process of Human-AI Value Alignment,,10.1613/jair.1.18846,2025,2026,full-text,full-text,version pair: same study charted as preprint+published
P708,P009,incomplete contracting and ai alignment,Incomplete Contracting and AI Alignment,Incomplete Contracting and AI Alignment,,10.1145/3306618.3314250,2018,2019,abstract,full-text,version pair: same study charted as preprint+published
P1149,P009,incomplete contracting and ai alignment,Incomplete contracting and AI alignment,Incomplete Contracting and AI Alignment,,10.1145/3306618.3314250,2019,2019,metadata,full-text,version pair: same study charted as preprint+published
P1228,P013,fixing distribution shifts of llm selfcritique via onpolicy selfplay training,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training,,10.18653/v1/2025.acl-long.865,2025,2025,abstract,full-text,version pair: same study charted as preprint+published
P1220,P028,beyond step pruning information theory based steplevel optimization for selfrefining large language models,Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models,Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models,,10.1609/aaai.v40i41.40798,2026,2026,abstract,full-text,version pair: same study charted as preprint+published
P721,P029,justifications for democratizing ai alignment and their prospects,Justifications for Democratizing AI Alignment and Their Prospects,Justifications for Democratizing AI Alignment and Their Prospects,,10.1007/978-3-032-07132-3_10,2025,2026,abstract,full-text,version pair: same study charted as preprint+published
P1002,P029,justifications for democratizing ai alignment and their prospects,Justifications for Democratizing AI Alignment and Their Prospects,Justifications for Democratizing AI Alignment and Their Prospects,,10.1007/978-3-032-07132-3_10,2025,2026,metadata,full-text,version pair: same study charted as preprint+published
P1261,P049,fgdalign pluralistic alignment for large language models via fuzzy group decisionmaking,FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making,FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making,,10.1609/aaai.v40i21.38819,2026,2026,abstract,full-text,version pair: same study charted as preprint+published
P644,P050,reward hacking mitigation using verifiable composite rewards,Reward Hacking Mitigation using Verifiable Composite Rewards,Reward Hacking Mitigation using Verifiable Composite Rewards,,10.1145/3765612.3767230,2025,2025,abstract,full-text,version pair: same study charted as preprint+published
