id,title,year,decision,reason,retrieved,s1,s2,note
P02_0003,SFP: Spurious Feature-Targeted Pruning for Out-of-Distribution Generalization,2024,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0007,Feature-granularity-based spurious correlation and causal analysis in CNNs Exploring Feature Granularity to Uncover Spurious Correlations,2024,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0017,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0021,Causality and Independence Enhancement for Biased Node Classification,2023,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0081,Evaluating Out-of-Distribution Robustness of TabPFN on Tabular Data,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0082,On the Out-of-Distribution Evaluation of ML-Based End-to-End Communications Systems,2024,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0087,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions with Superior OOD Generalization,2022,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0088,Compositional Generalization in Emergent Communication via Metropolis-Hastings Naming Game with Transformer Language Models,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0092,Data Distributional Properties As Inductive Bias for Systematic Generalization,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0093,Dynamic Multi-Path Learning For Out-of-Distribution Node Classification on Heterophilic Graphs,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0096,Out-of-Distribution Generalization on Graphs: A Survey,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0110,Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0116,Complexity Control Facilitates Reasoning-Based Compositional Generalization in Transformers,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0150,Spatial-DiT: Generalizable 3D Visuomotor Policy for Cross-Object Manipulation via Multi-Scale Spatial Fusion,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0179,General Greedy De-Bias Learning,2023,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0238,Three approaches to facilitate invariant neurons and generalization to out-of-distribution orientations and illuminations,2022,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0280,SSGNN: Simple siamese graph neural networks for out-of-distribution generalization,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0290,Boosting Rice Disease Diagnosis: A Systematic Benchmark of Five Deep Convolutional Neural Network Models in Precision Agriculture,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0322,A two-stage co-adversarial perturbation to mitigate out-of-distribution generalization of large-scale graph,2024,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0410,Invariant Graph Transformer for Out-of-Distribution Generalization,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0444,Improving Generalization in Collision Avoidance for Multiple Unmanned Aerial Vehicles via Causal Representation Learning †,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0493,Coupled data-driven and experience-informed neural networks for prediction of pile base resistance with consideration of data limitation,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0495,MiMu: mitigating multiple shortcut learning behavior of transformers,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0497,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,2022,Include,,yes,Include,Include,s1=Include s2=Include | FT6-dup-candidate | adj: Canonical published version of the duplicate pair (NAACL Findings 2022
P02_0500,Accurate Classification of Pathological Whole-Slide Images for Out-of-Distribution Generalization,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0503,A Structure-aware Invariant Learning Framework for Node-level Graph OOD Generalization,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0507,I2CD: An Invertible Causal Framework for Compositional Zero-Shot Learning via Disentangle-Compose-Disentangle,2026,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0510,Compositional Generalization for Neural Semantic Parsing via Span-level Supervised Attention,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0542,Bayesian Cross-Modal Alignment Learning for Few-Shot Out-of-Distribution Generalization,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0556,Spectral Distribution Alignment for Enhanced Generalization in Regression,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0576,Improving Group Robustness on Spurious Correlation via Evidential Alignment,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0594,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0595,Exploring Compositional Generalization (in COGS/ReCOGS_pos) by Transformers using Restricted Access Sequence Processing (RASP),2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0596,SLOG: A Structural Generalization Benchmark for Semantic Parsing,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0597,Grounded Graph Decoding Improves Compositional Generalization in Question Answering,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0598,Towards Understanding the Relationship between In-context Learning and Compositional Generalization,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0599,Compositional Generalization in Semantic Parsing: Pre-training vs. Specialized Architectures,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0600,Learning to Substitute Components for Compositional Generalization,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0602,Harnessing Dataset Cartography for Improved Compositional Generalization in Transformers,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0604,On the Compositional Generalization Gap of In-Context Learning,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0605,Representational Homomorphism Predicts and Improves Compositional Generalization In Transformer Language Model,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0607,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0608,*-CFQ: Analyzing the Scalability of Machine Learning on a Compositional Task,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0610,Think before you act: A simple baseline for compositional generalization,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0611,How Do In-Context Examples Affect Compositional Generalization?,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0612,Hierarchical Poset Decoding for Compositional Generalization in Language,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0613,Unlocking Compositional Generalization in Pre-trained Models Using Intermediate Representations,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0614,Compositional Generalization by Learning Analytical Expressions,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0615,Compositional Generalization in Multilingual Semantic Parsing over Wikidata,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0616,Data Factors for Better Compositional Generalization,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0617,Iterative Decoding for Compositional Generalization in Transformers,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0618,Structural generalization in COGS: Supertagging is (almost) all you need,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0619,When Can Transformers Ground and Compose: Insights from Compositional Generalization Benchmarks,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0622,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,2019,Include,,yes,Include,Include,s1=Include s2=Include
P02_0623,Recursive Decoding: A Situated Cognition Approach to Compositional Generation in Grounded Language Understanding,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0624,Compositional Generalization without Trees using Multiset Tagging and Latent Permutations,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0625,Compositional Generalization via Neural-Symbolic Stack Machines,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0627,Uncontrolled Lexical Exposure Leads to Overestimation of Compositional Generalization in Pretrained Models,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0628,A Neuroscience-Inspired Dual-Process Model of Compositional Generalization,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0629,Compositional generalization in a deep seq2seq model by separating syntax and semantics,2019,Include,,yes,Include,Include,s1=Include s2=Include
P02_0630,Compositional Generalization and Decomposition in Neural Program Synthesis,2022,Include,,yes,Include,Include,s1=Include s2=Include
