id,title,year,reason,note
P02_0033,Normalized Space Alignment: A Versatile Metric for Representation Analysis,2025,FT1,s1=Exclude s2=Exclude
P02_0034,Stereo-Fi: Free-Form 3D Reconstruction via Generatively Co-Trained Inverse RF Rendering,2026,FT3,s1=Exclude s2=Exclude
P02_0038,Test Optimization in DNN Testing: A Survey,2024,FT7,conflict: default Include (6.3.3); flagged | adj: Survey of DNN testing | adj: Survey of DNN testing
P02_0048,Mitigating Distributed Backdoor Attack in Federated Learning Through Mode Connectivity,2024,FT2,s1=Exclude s2=Exclude
P02_0051,Responsive DNN Adaptation for Video Analytics against Environment Shift via Hierarchical Mobile-Cloud Collaborations,2025,FT1,conflict: default Include (6.3.3); flagged | adj: Video-analytics edge adaptation; non-compositional OOD (E8) | adj: Video-analytics edge adaptation; non-compositional OOD (E8)
P02_0054,The Worst of Both Worlds: A Comparative Analysis of Errors in Learning from Data in Psychology and Machine Learning,2022,FT8,conflict: default Include (6.3.3); flagged | adj: Comparative analysis of errors psychology-vs-ML; not an OOD/compositional generalization study | adj: Comparative analysis of errors psychology-vs-ML; not an OOD/compositional generalization study
P02_0066,A Survey of Dataset Refinement for Problems in Computer Vision Datasets,2024,FT7,conflict: default Include (6.3.3); flagged | adj: Survey of dataset refinement | adj: Survey of dataset refinement
P02_0074,Cacophony: An Improved Contrastive Audio-Text Model,2024,FT1,conflict: default Include (6.3.3); flagged | adj: Contrastive audio-text zero-shot retrieval; non-compositional OOD (E8) | adj: Contrastive audio-text zero-shot retrieval; non-compositional OOD (E8)
P02_0138,Utilizing Confidence in Localization Predictions for Improved Spectrum Management,2024,FT1,conflict: default Include (6.3.3); flagged | adj: Localization confidence prediction; no OOD/CG split | adj: Localization confidence prediction; no OOD/CG split
P02_0380,A Physics-Guided Symbolic Regression Framework for Multi-Resolution Dynamic Equivalent Modeling of Power Systems,2026,FT1,conflict: default Include (6.3.3); flagged | adj: Physics-guided symbolic regression; non-compositional OOD (E8) | adj: Physics-guided symbolic regression; non-compositional OOD (E8)
P02_0444,Improving Generalization in Collision Avoidance for Multiple Unmanned Aerial Vehicles via Causal Representation Learning †,2025,FT1,s1=Exclude s2=Exclude
P02_0517,A Cascade Registration Method Based on Transformation Transfer for Multiscale Point Clouds,2026,FT1,conflict: default Include (6.3.3); flagged | adj: Cascade image-registration method; no OOD/CG split | adj: Cascade image-registration method; no OOD/CG split
P02_0522,Avoiding Shortcuts: Enhancing Channel-Robust Specific Emitter Identification via Single-Source Domain Generalization,2025,FT1,s1=Exclude s2=Exclude
P02_0663,A Class of Distributions for Linear Demand Markets,2018,FT1,s1=Exclude s2=Exclude
P02_0665,NCHO: Unsupervised Learning for Neural 3D Composition of Humans and Objects,2023,FT8,conflict: default Include (6.3.3); flagged | adj: 'Composition' of 3D human parts — object-part composition | adj: 'Composition' of 3D human parts — object-part composition
