study_id,pdf_file,method,confidence
P002,The Multi-Agent Off-Switch Game.pdf,filename-title,high
P003,Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI.pdf,filename-title,high
P004,The necessary roadblock to artificial general intelligence: corrigibility.pdf,filename-title,high
P005,Incorrigibility in the CIRL Framework.pdf,filename-title,high
P006,"What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety.pdf",filename-title,high
P007,"Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem.pdf",filename-title,high
P008,Understanding the Process of Human AI Value Alignment.pdf,filename-title,high
P009,Incomplete Contracting and AI Alignment.pdf,filename-title,high
P010,Negative Human Rights as a Basis for Long term AI Safety and Regulation.pdf,filename-title,high
P011,Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis.pdf,filename-title,high
P012,Teach AI What It Doesn’t Know.pdf,filename-title,high
P013,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training.pdf,filename-title,high
P014,The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini.pdf,filename-title,high
P016,Belief-Driven Value Alignment for Human-Robot Collaboration.pdf,filename-title,high
P017,Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination.pdf,filename-title,high
P018,Alignment with Psychological Concept Network.pdf,filename-title,high
P019,Data sparse inference of operator spatial reward models in uncertain environments.pdf,filename-title,high
P020,"Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints.pdf",filename-title,high
P021,"Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures.pdf",filename-title,high
P022,Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning.pdf,filename-title,high
P023,How Proportional Representation Can Shape Artificial Intelligence.pdf,filename-title,high
P025,"A comprehensive introspection on AI risks: taxonomy, challenges, and future directions.pdf",filename-title,high
P026,Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation.pdf,filename-title,high
P027,ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI.pdf,filename-title,high
P028,Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models.pdf,filename-title,high
P029,Justifications for Democratizing AI Alignment and Their Prospects.pdf,filename-title,high
P031,Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?.pdf,filename-title,high
P032,The specification game: rethinking the evaluation of drug response prediction for precision oncology.pdf,filename-title,high
P033,AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations.pdf,filename-title,high
P034,Towards a societal AI alignment benchmark for evaluating human-machine value convergence.pdf,filename-title,high
P035,"AI and My Values: User Perceptions of LLMs' Ability to Extract, Embody, and Explain Human Values from Casual Conversations.pdf",filename-title,high
P036,Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework.pdf,filename-title,high
P037,Interpretable group gated priority traces for scalarized multi-objective reinforcement learning in autonomous drone operations.pdf,filename-title,high
P038,Towards Aligning Multimodal LLMs with Human Experts: A Focus on Parent-Child Interaction.pdf,filename-title,high
P039,Will power-seeking AGIs harm human society?.pdf,filename-title,high
P040,A sociotechnological-system approach to AI ethics.pdf,filename-title,high
P041,Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment.pdf,filename-title,high
