id,title,authors,year,abstract,source_db,user_decision,user_justification,final
P01_2366,Moral disagreement and the limits of ai value alignment: a dual challenge of epistemic justification and political legitimacy,"Schuster, Nick; Kilov, Daniel",2025,,Scopus:F1,include,directly addresses value alignment and pluralism challenges — include,include
P01_1197,TAUCHI-GPT: Leveraging GPT-4 to Create a Multimodal Open-Source Research AI Tool,"Farooq, A.; Kangas, J.; Raisamo, R.",2023,"In the last few year advances in deep learning and artificial intelligence have made it possible to generate high-quality text, audio, and visual content automatically for a wide range of application areas including research and education. However, designing and customizing an ef…",Scopus:F1,exclude,"narrow tool development and application, lacks safety focus — exclude",include
P01_2539,Flames: Benchmarking value alignment of chinese large language models,"Huang, Kexin; Liu, Xiangyang; Guo, Qianyu; Sun, Tianxiang; Sun, Jiawei; Wang, Yaru; Zhou, Zeyang; Wang, Yixu; Teng, Yan; Qiu, Xipeng",2023,,Scopus:F1,include,evaluates and benchmarks large language model value alignment — include,include
P01_2412,LocalValueBench: A collaboratively built and extensible benchmark for evaluating localized value alignment and ethical safety in large language models,"Meadows, G.I.; Long Lau, N.W.; Susanto, E.A.; Chi Lok, Y.; Paul, A.",2024,,Scopus:F1,include,evaluates and benchmarks large language model value alignment — include,include
P01_2388,Pluralism in AI Value Alignment: Motivations and Methods,"Paris, H.; Phillip, H.",2025,,Scopus:F1,include,explicit focus on value alignment pluralism and methods — include,include
P01_0215,ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI,"Turaga, V.S.P.; Gopali, S.; Kieseberg, P.; Pahi, T.; Tjoa, S.; Jones, K.S.; Namin, A.S.",2026,"With the rapid advancement of AI and foundation models, several research directions have emerged which are active research focuses contributing to advancing and stabilizing the next generation of cutting-edge AI technologies. Instances of such research efforts are being explored …","Scopus:F1, WoS:F1",include,conceptual framework for control and safety of foundation models — include,include
P01_1245,Training for Implicit Norms in Deep Reinforcement Learning Agents through Adversarial Multi-Objective Reward Optimization,"Peschl, M.",2021,We propose a deep reinforcement learning algorithm that employs an adversarial training strategy for adhering to implicit human norms alongside optimizing for a narrow goal objective. Previous methods which incorporate human values into reinforcement learning algorithms either sc…,Scopus:F1,include,technical reinforcement learning alignment method for human norms — include,include
P01_2408,A comparative study of value alignment in generative artificial intelligence: Based on experimental news commentaries generated on ten major international events (2012-2023),"Hu, Z.R.; Yan, J.Q.",2024,,Scopus:F1,include,evaluates value alignment in generative artificial intelligence — include,include
P01_0287,"The phygital intelligence value experience (PHIVE) matrix: the good, the bad, and the ugly of AI marketing for customer experience design","Batat, W.",2026,"Artificial intelligence is reshaping customer experience design, yet many AI marketing approaches remain constrained by digital first, techno-centric logics that overlook the embodied, emotional, and symbolic dimensions of consumption. As consumers increasingly navigate hybrid ph…","Scopus:F1, WoS:F1",exclude,"focused on marketing and customer experience, lacks safety relevance — exclude",include
P01_2677,AI safety debate and its applications,"Kovařík, V.",2019,,Scopus:F1,include,addresses the core conceptual landscape of AI safety — include,include
P01_0501,Training Child Helpline Counselors with Value-Integrated Chat Simulations,"Al Owayyed, M.; Brinkman, W.-P.; Guan, K.W.; Keijsers, L.; Tielman, M.L.",2026,"Children’s helplines train new counselors to adapt to children’s needs and values. This training typically involves roleplay, which can be resource-intensive. Interactive agents offer a promising alternative; yet, simulation-based training systems rarely model how personal values…","Scopus:F1, WoS:F1",exclude,"narrow application-specific tutoring system, lacks AGI safety relevance — exclude",include
P01_2371,Moral Anchor System: A Predictive Framework for AI Value Alignment and Drift Prevention,"Ravindran, S.K.",2025,,Scopus:F1,include,proposes a framework for value alignment and drift prevention — include,include
P01_2537,Multi-value alignment in normative multi-agent system: Evolutionary optimisation approach,"Riad, M.; Carvalho, V.R.; Golpayegani, F.",2023,,Scopus:F1,include,technical multi-value alignment in multi-agent systems — include,include
P01_2516,"Natural abstractions: Key claims, theorems, and critiques","Chan, Lawrence; Lang, Leon; Jenner, Erik",2023,,Scopus:F1,include,"analyzes natural abstractions, a key framework in AGI safety — include",include
P01_2608,Consequentialism & corrigibility,"Byrnes, S.",2021,,Scopus:F1,include,"explores corrigibility, a core control problem concept — include",include
