paper_id,year,publication_type,evidence_basis,citation_count,D1,D6,D2,D3,D4,D5,D7,D8,composite,tier,weight_set,notes,low_credibility
P001,2025,review,metadata,28,2,4,3,2,,2,1,3,2.55,B,pos_review,low-evidence: metadata-only | scored:D2=3 | scored:D3=2 | scored:D5=2 | scored:D7=1 | scored:D8=3 | low-evidence: metadata-only | d1:doi_peer | d6:cohort p92,0
P002,2026,theoretical,full-text,0,2,3,3,3,,3,1,3,2.80,B,theoretical,ft_file=The Multi-Agent Off-Switch Game.pdf; pilot=manual-review | pilot-reconcile: D2=3 (Hammond Oxford/CoopAI multi-agent safety track record) | ft_file=The Multi-Agent Off-Switch Game.pdf; pilot=manual-review | d1:proceedings | d6:cohort p77,0
P003,2026,position,full-text,0,2,3,2,2,,2,2,3,2.30,C,pos_review,"ft_file=Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI.pdf | ai-revised:publication_type=other->position | pilot-reconcile: D7=2 (keynote risks, no formal threat model) | D8=3 (engages trustworthiness lit) | ft_file=Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI.pdf | ai-revised:publication_type=other->position | d1:proceedings | d6:cohort p77",0
P004,2019,opinion,full-text,5,2,1,0,2,,3,2,3,1.95,C,pos_review,ft_file=The necessary roadblock to artificial general intelligence: corrigibility.pdf | ai-revised:publication_type=other->opinion | ft_file=The necessary roadblock to artificial general intelligence: corrigibility.pdf | ai-revised:publication_type=other->opinion | d1:doi_peer | d6:cohort p26 | scored:D2=0 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P005,2018,theoretical,full-text,1,2,0,2,3,,3,2,4,2.30,C,theoretical,ft_file=Incorrigibility in the CIRL Framework.pdf | ai-revised:publication_type=position->theoretical | ft_file=Incorrigibility in the CIRL Framework.pdf | ai-revised:publication_type=position->theoretical | d1:proceedings | d6:cohort p7 | scored:D2=2 | scored:D3=3 | scored:D5=3 | scored:D7=2 | scored:D8=4,0
P006,2026,empirical,full-text,1,2,4,1,2,2,3,1,2,2.25,C,empirical,"ft_file=What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety.pdf | ai-revised:methodology=experiment->analysis | ft_file=What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety.pdf | ai-revised:methodology=experiment->analysis | d1:proceedings | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2",0
P007,2026,position,full-text,0,2,3,2,3,,3,2,4,2.85,B,pos_review,"ft_file=Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem.pdf | ai-revised:publication_type=other->position | ft_file=Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem.pdf | ai-revised:publication_type=other->position | d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=3 | scored:D5=3 | scored:D7=2 | scored:D8=4",0
P008,2026,review,full-text,0,2,3,2,2,,3,2,4,2.70,B,pos_review,ft_file=Understanding the Process of Human AI Value Alignment.pdf | moved:datasets_used(review) | moved:sample_size(review) | ft_file=Understanding the Process of Human AI Value Alignment.pdf | moved:datasets_used(review) | moved:sample_size(review) | d1:doi_peer | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=4,0
P009,2019,position,full-text,11,2,2,4,3,,3,2,4,3.00,B,pos_review,ft_file=Incomplete Contracting and AI Alignment.pdf | ai-revised:publication_type=other->position | moved:formal_framework(none->other) | ft_file=Incomplete Contracting and AI Alignment.pdf | ai-revised:publication_type=other->position | moved:formal_framework(none->other) | d1:proceedings | d6:cohort p46 | scored:D2=4 | scored:D3=3 | scored:D5=3 | scored:D7=2 | scored:D8=4,0
P010,2023,position,full-text,11,2,3,3,2,,3,2,3,2.70,B,pos_review,ft_file=Negative Human Rights as a Basis for Long term AI Safety and Regulation.pdf | ai-revised:publication_type=other->position | ft_file=Negative Human Rights as a Basis for Long term AI Safety and Regulation.pdf | ai-revised:publication_type=other->position | d1:doi_peer | d6:cohort p67 | scored:D2=3 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P011,2026,position,full-text,3,2,4,2,2,,3,2,3,2.70,B,pos_review,ft_file=Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis.pdf | ai-revised:formal_framework=information theory->none | ft_file=Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis.pdf | ai-revised:formal_framework=information theory->none | d1:doi_peer | d6:cohort p97 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P012,2026,review,full-text,0,2,3,2,2,,3,1,3,2.50,B,pos_review,ft_file=Teach AI What It Doesn’t Know.pdf | ai-revised:subdomains=value alignment; interpretability; robustness; capabilities->robustness; interpretability | ft_file=Teach AI What It Doesn’t Know.pdf | ai-revised:subdomains=value alignment; interpretability; robustness; capabilities->robustness; interpretability | d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0
P013,2025,empirical,full-text,1,2,2,1,2,2,3,1,2,1.95,C,empirical,ft_file=Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2 | ft_file=Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | d1:proceedings | d6:cohort p51,0
P014,2026,empirical,full-text,0,2,3,1,2,3,3,1,2,2.30,C,empirical,ft_file=The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini.pdf | ft_file=The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini.pdf | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=3 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
