id,title,decision,reason,note
P02_0497,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,Include,,nn=9 ood=3 id_ev=14 ood_nums=27
P02_0507,I2CD: An Invertible Causal Framework for Compositional Zero-Shot Learning via Disentangle-Compose-Disentangle,Uncertain,,"ood_nums=75, id_ev=0 (ID baseline missing?)"
P02_0510,Compositional Generalization for Neural Semantic Parsing via Span-level Supervised Attention,Include,,nn=11 ood=3 id_ev=96 ood_nums=114
P02_0542,Bayesian Cross-Modal Alignment Learning for Few-Shot Out-of-Distribution Generalization,Include,,nn=5 ood=3 id_ev=11 ood_nums=34
P02_0594,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,Include,,nn=12 ood=8 id_ev=77 ood_nums=96
P02_0595,Exploring Compositional Generalization (in COGS/ReCOGS_pos) by Transformers using Restricted Access Sequence Processing (RASP),Include,,nn=14 ood=5 id_ev=144 ood_nums=136
P02_0596,SLOG: A Structural Generalization Benchmark for Semantic Parsing,Include,,nn=10 ood=8 id_ev=110 ood_nums=130
P02_0597,Grounded Graph Decoding Improves Compositional Generalization in Question Answering,Include,,nn=13 ood=4 id_ev=56 ood_nums=76
P02_0598,Towards Understanding the Relationship between In-context Learning and Compositional Generalization,Include,,nn=13 ood=9 id_ev=85 ood_nums=131
P02_0599,Compositional Generalization in Semantic Parsing: Pre-training vs. Specialized Architectures,Include,,nn=17 ood=7 id_ev=124 ood_nums=117
P02_0600,Learning to Substitute Components for Compositional Generalization,Include,,nn=15 ood=7 id_ev=176 ood_nums=213
P02_0602,Harnessing Dataset Cartography for Improved Compositional Generalization in Transformers,Include,,nn=12 ood=6 id_ev=245 ood_nums=280
P02_0604,On the Compositional Generalization Gap of In-Context Learning,Include,,nn=8 ood=7 id_ev=65 ood_nums=100
P02_0605,Representational Homomorphism Predicts and Improves Compositional Generalization In Transformer Language Model,Include,,nn=8 ood=11 id_ev=32 ood_nums=57
P02_0607,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,Include,,nn=11 ood=6 id_ev=73 ood_nums=106
P02_0608,*-CFQ: Analyzing the Scalability of Machine Learning on a Compositional Task,Include,,nn=14 ood=4 id_ev=204 ood_nums=220
P02_0610,Think before you act: A simple baseline for compositional generalization,Include,,nn=10 ood=5 id_ev=14 ood_nums=27
P02_0611,How Do In-Context Examples Affect Compositional Generalization?,Include,,nn=9 ood=9 id_ev=19 ood_nums=78
P02_0612,Hierarchical Poset Decoding for Compositional Generalization in Language,Include,,nn=12 ood=4 id_ev=33 ood_nums=58
P02_0613,Unlocking Compositional Generalization in Pre-trained Models Using Intermediate Representations,Include,,nn=10 ood=5 id_ev=189 ood_nums=195
P02_0614,Compositional Generalization by Learning Analytical Expressions,Include,,nn=15 ood=5 id_ev=93 ood_nums=83
P02_0615,Compositional Generalization in Multilingual Semantic Parsing over Wikidata,Include,,nn=13 ood=6 id_ev=112 ood_nums=144
P02_0616,Data Factors for Better Compositional Generalization,Include,,nn=15 ood=9 id_ev=69 ood_nums=147
P02_0617,Iterative Decoding for Compositional Generalization in Transformers,Include,,nn=11 ood=5 id_ev=83 ood_nums=88
P02_0618,Structural generalization in COGS: Supertagging is (almost) all you need,Include,,nn=9 ood=7 id_ev=30 ood_nums=92
P02_0619,When Can Transformers Ground and Compose: Insights from Compositional Generalization Benchmarks,Include,,nn=15 ood=9 id_ev=78 ood_nums=110
P02_0622,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,Include,,nn=12 ood=5 id_ev=159 ood_nums=168
P02_0623,Recursive Decoding: A Situated Cognition Approach to Compositional Generation in Grounded Language Understanding,Include,,nn=14 ood=7 id_ev=71 ood_nums=66
P02_0624,Compositional Generalization without Trees using Multiset Tagging and Latent Permutations,Include,,nn=14 ood=6 id_ev=216 ood_nums=156
P02_0625,Compositional Generalization via Neural-Symbolic Stack Machines,Include,,nn=15 ood=7 id_ev=33 ood_nums=81
P02_0627,Uncontrolled Lexical Exposure Leads to Overestimation of Compositional Generalization in Pretrained Models,Include,,nn=12 ood=10 id_ev=54 ood_nums=102
P02_0628,A Neuroscience-Inspired Dual-Process Model of Compositional Generalization,Include,,nn=9 ood=5 id_ev=19 ood_nums=48
P02_0629,Compositional generalization in a deep seq2seq model by separating syntax and semantics,Include,,nn=13 ood=5 id_ev=49 ood_nums=78
P02_0630,Compositional Generalization and Decomposition in Neural Program Synthesis,Include,,nn=13 ood=6 id_ev=64 ood_nums=120
P02_0632,Can Transformers Jump Around Right in Natural Language? Assessing Performance Transfer from SCAN,Include,,nn=16 ood=4 id_ev=49 ood_nums=46
P02_0633,Learning to Generalize Compositionally by Transferring Across Semantic Parsing Tasks,Include,,nn=13 ood=6 id_ev=124 ood_nums=162
P02_0634,Compositional generalization in semantic parsing with pretrained transformers,Include,,nn=9 ood=5 id_ev=61 ood_nums=53
P02_0635,CNNs found to jump around more skillfully than RNNs: Compositional generalization in seq2seq convolutional networks,Include,,nn=13 ood=4 id_ev=36 ood_nums=15
P02_0640,ReaSCAN: Compositional Reasoning in Language Grounding,Include,,nn=12 ood=8 id_ev=86 ood_nums=137
P02_0642,Compositional Semantic Parsing with Large Language Models,Include,,nn=14 ood=7 id_ev=100 ood_nums=145
P02_0643,A Benchmark for Systematic Generalization in Grounded Language Understanding,Include,,nn=10 ood=10 id_ev=50 ood_nums=70
P02_0648,Inducing Transformer's Compositional Generalization Ability via Auxiliary Sequence Prediction Tasks,Include,,nn=15 ood=11 id_ev=102 ood_nums=74
P02_0651,Early-Warning Signals of Grokking via Loss-Landscape Geometry,Include,,nn=10 ood=2 id_ev=151 ood_nums=16
P02_0654,A Compositional Framework for Open-ended Intelligence,Include,,nn=9 ood=3 id_ev=39 ood_nums=31
P02_0657,Sequence-Level Mixed Sample Data Augmentation,Include,,nn=9 ood=3 id_ev=46 ood_nums=13
P02_0691,Invariant Graph Transformer for Out-of-Distribution Generalization,Uncertain,,"ood_nums=120, id_ev=0 (ID baseline missing?)"
P02_0693,Early Period of Training Impacts Adaptation for Out-of-Distribution Generalization: An Empirical Study,Include,,nn=13 ood=3 id_ev=15 ood_nums=44
P02_0702,Benign Overfitting in Out-of-Distribution Generalization of Linear Models,Include,,nn=5 ood=3 id_ev=14 ood_nums=39
