study_id,id,title,authors,year,doi,arxiv_id,relevance_score,page_count,annotation,ft_status,pdf_status,has_pdf,needs_download,dup_within_lib,dup_pdf_file,download_url
P001,P01_0018,AI Alignment: A Contemporary Survey,Jiaming Ji; Tianyi Qiu; Boyuan Chen; Jiayi Zhou; Borong Zhang; Donghai Hong; Hantao Lou; Kaile Wang; Yawen Duan; Zhonghao He; Lukas Vierling; Zhaowei Zhang; Fanzhi Zeng; Juntao Dai; Xuehai Pan; Hua Xu; Aidan O'Gara; Kwan Ng; Brian Tse; Jie Fu; Stephen Mcaleer; Yanfeng Wang; Mingchuan Yang; Yunhuai Liu; Yizhou Wang; Song-Chun Zhu; Yike Guo; Yaodong Yang; Wen Gao,2025,10.1145/3770749,,3,,RQ: AI Alignment: A Contemporary Survey | Abstract: ,paywalled,paywalled,no,yes,,no,https://doi.org/10.1145/3770749
P002,P01_0019,The Multi-Agent Off-Switch Game,Akash Agrawal; Soroush Ebadian; Lewis Hammond,2026,10.65109/HQQZ1937,,3,,RQ: The Multi-Agent Off-Switch Game | Abstract: ,paywalled,paywalled,no,yes,,no,https://doi.org/10.65109/HQQZ1937
P003,P01_0024,Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI: Keynote,Eren Kurshan,2026,10.1145/3801487.3802805,,3,,RQ: Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI: Keynote | Abstract: ,retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3801487.3802805
P004,P01_0036,The necessary roadblock to artificial general intelligence: corrigibility,Yat Long Lo; Chung Yu Woo; Ka Lok Ng,2019,10.1145/3362077.3362089,,4,,RQ: The necessary roadblock to artificial general intelligence: corrigibility | Abstract: ,paywalled,paywalled,no,yes,,no,https://doi.org/10.1145/3362077.3362089
P005,P01_0050,Incorrigibility in the CIRL Framework,Ryan Carey,2018,10.1145/3278721.3278750,,4,,RQ: Incorrigibility in the CIRL Framework | Abstract: ,retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3278721.3278750
P006,P01_0097,"What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety",Ankolika De; Gabriel Lima; Yixin Zou,2026,10.1145/3772318.3791632,,2,,"RQ: What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety | Abstract: ",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3772318.3791632
P007,P01_0113,"Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem",Travis LaCroix,2026,10.1145/3805689.3812420,,4,,"RQ: Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem | Abstract: ",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3805689.3812420
P008,P01_0154,Understanding the Process of Human-AI Value Alignment,Jack McKinlay; Marina De Vos; Janina Hoffmann; Andreas Theodorou,2026,10.1613/jair.1.18846,,3,,RQ: Understanding the Process of Human-AI Value Alignment | Abstract: ,retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1613/jair.1.18846
P009,P01_0162,Incomplete Contracting and AI Alignment,Dylan Hadfield-Menell; Gillian K. Hadfield,2019,10.1145/3306618.3314250,,4,,RQ: Incomplete Contracting and AI Alignment | Abstract: ,retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3306618.3314250
P010,P01_0165,Negative Human Rights as a Basis for Long-term AI Safety and Regulation,Ondrej Bajgar; Jan Horenovsky,2023,10.1613/jair.1.14020,,2,,RQ: Negative Human Rights as a Basis for Long-term AI Safety and Regulation | Abstract: ,retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1613/jair.1.14020
P011,P01_0168,Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis,,2026,10.1007/s13347-025-00975-5,,3,,RQ: Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis | Abstract: ,retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1007/s13347-025-00975-5
P012,P01_0184,Teach AI What It Doesn’t Know,"Du, X.",2026,10.1609/aaai.v40i47.41345,,3,,RQ: Teach AI What It Doesn’t Know | Abstract: This talk surveys my research journey toward building reliable machine learning systems that behave safely and predictably in the open world. While modern machine learning models—including foundation models (FMs)—have demonstrated unprecede,retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1609/aaai.v40i47.41345
P013,P01_0185,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training,"Bao, R.; Yu, D.; Fan, K.; Liao, M.",2025,10.18653/v1/2025.acl-long.865,,4,,"RQ: Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training | Abstract: Self-critique mechanisms significantly improve the performance of language models in complex reasoning tasks by giving them the ability to correct errors, conduct induction and deduction, and switch thinking insights. However, synthetic dat",paywalled,paywalled,no,yes,,no,https://doi.org/10.18653/v1/2025.acl-long.865
P014,P01_0186,The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini,"Rauchfleisch, A.; Jungherr, A.",2026,10.1177/14614448261449271,,3,,"RQ: The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini | Abstract: This study tests how a prominent artificial intelligence (AI) product failure influences public attitudes, focusing on Google Gemini’s generation of controversial images. Drawing on the AI alignment literature, we distinguish three moderati",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1177/14614448261449271
P015,P01_0188,Philosophical foundations of artificial superintelligence literacy: A scoping review and synthesis,"Tanchuk, N.J.; Taylor, R.M.; Lee, S.; Gaur, A.",2026,10.1177/14778785261459884,,3,,"RQ: Philosophical foundations of artificial superintelligence literacy: A scoping review and synthesis | Abstract: For the public to be prepared to deliberate about the proper role (if any) of artificial superintelligence in society, artificial intelligence literacy needs to address technical, empirical, and normative philosophical topics related to thi",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1177/14778785261459884
P016,P01_0189,Belief-Driven Value Alignment for Human-Robot Collaboration,"Li, S.; Shi, B.; Xia, Y.; Su, X.",2026,10.1609/aaai.v40i21.38809,,4,,"RQ: Belief-Driven Value Alignment for Human-Robot Collaboration | Abstract: As intelligent systems advance rapidly, human-robot collaboration is becoming increasingly important. Ensuring that the intelligent agent’s behaviors match human intentions and value preferences is crucial for effective collaboration, which",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1609/aaai.v40i21.38809
P017,P01_0194,Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination,"Krishna, S.; South, T.",2026,10.65109/CSL07280,,3,,RQ: Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination | Abstract: Language models are increasingly deployed in multi-agent environments where coordination emerges solely through natural language interaction. We investigate how contextual framing and explicit strategic advice interact across three canonica,paywalled,paywalled,no,yes,,no,https://doi.org/10.65109/CSL07280
