study_id,id,title,authors,year,doi,arxiv_id,relevance_score,pdf_status,download_url,source_db,batch
P028,P01_0217,Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models,"Zhao, J.; Min, E.; Wu, H.; Li, Z.; Sun, Z.; Cai, H.; Wang, S.; Chen, X.; Penn, G.",2026,10.1609/aaai.v40i41.40798,,5,downloaded,https://doi.org/10.1609/aaai.v40i41.40798,,B1-doi-rel5-4
P039,P01_0238,Will power-seeking AGIs harm human society?,"Wang, M.",2026,10.1007/s00146-025-02572-8,,5,downloaded,https://doi.org/10.1007/s00146-025-02572-8,,B1-doi-rel5-4
P065,P01_0295,LA-EDPO: Length-Aware Effect-Enhanced Direct Preference Optimization,"Zhang, W.",2026,10.1109/ICAACE69793.2026.11508785,,5,downloaded,https://doi.org/10.1109/ICAACE69793.2026.11508785,,B1-doi-rel5-4
P069,P01_0308,MIRA: An LLM-Driven Dual-Loop Architecture for Metacognitive Reward Design,"Zhang, W.; Xu, Y.; Sun, Z.",2025,10.3390/systems13121124,,5,downloaded,https://doi.org/10.3390/systems13121124,,B1-doi-rel5-4
P093,P01_0358,Reinforcement Learning from X-Feedback: Recent Advances and Future Prospects,"Liu, Q.-D.; He, W.-X.; Yao, E.-G.; Chen, D.; Li, Y.-F.; Xu, M.-L.",2026,10.11897/SP.J.1016.2026.00497,,5,downloaded,https://doi.org/10.11897/SP.J.1016.2026.00497,,B1-doi-rel5-4
P096,P01_0372,Machines that halt resolve the undecidability of artificial intelligence alignment,"Melo, G.A.; Máximo, M.R.O.A.; Soma, N.Y.; Castro, P.A.L.",2025,10.1038/s41598-025-99060-2,,5,downloaded,https://doi.org/10.1038/s41598-025-99060-2,,B1-doi-rel5-4
P109,P01_0400,The economics of p(doom): Scenarios of existential risk and economic growth in the age of transformative AI,"Growiec, J.; Prettner, K.",2026,10.1016/j.econmod.2026.107718,,5,downloaded,https://doi.org/10.1016/j.econmod.2026.107718,,B1-doi-rel5-4
P113,P01_0410,Step-GRPO: Enhancing Reasoning Quality and Efficiency via StructurePRM-Based Reinforcement Learning,"Li, W.; Wang, J.; Yu, L.-C.; Zhang, X.",2026,10.1609/aaai.v40i37.40441,,5,downloaded,https://doi.org/10.1609/aaai.v40i37.40441,,B1-doi-rel5-4
P166,P01_0522,Neurodivergent influenceability in agentic AI as a contingent solution to the AI alignment problem,"Hernández-Espinosa, A.; Abrahão, F.S.; Witkowski, O.; Zenil, H.",2026,10.1093/pnasnexus/pgag076,,5,downloaded,https://doi.org/10.1093/pnasnexus/pgag076,,B1-doi-rel5-4
P186,P01_0575,From Clicks to Preference: A Multi-stage Alignment Framework for Generative Query Suggestion in Conversational System,"Yin, J.; Wang, H.; Bao, P.; Xu, J.; Wang, Y.",2026,10.1145/3770854.3783953,,5,downloaded,https://doi.org/10.1145/3770854.3783953,,B1-doi-rel5-4
P193,P01_0594,Mechanistic Interpretability: A New Trend in Interpretability Research,"Aoki, K.; Takatsuki, R.; Minegishi, G.; Cho, H.",2026,10.1527/tjsai.41-4_AN40-D,,5,downloaded,https://doi.org/10.1527/tjsai.41-4_AN40-D,,B1-doi-rel5-4
P201,P01_0615,"Artificial General Intelligence: Current Progress, Safety Considerations, and Ethical Imperatives","Potdukhe, N.; Pacharney, U.; Mankar, M.; Waghale, A.; Gadbail, H.N.; Dube, N.",2026,10.1109/ICIPCN67432.2026.11438447,,5,downloaded,https://doi.org/10.1109/ICIPCN67432.2026.11438447,,B1-doi-rel5-4
P207,P01_0627,Artificial superintelligence alignment in healthcare,"Ueda, D.; Walston, S.L.; Kurokawa, R.; Saida, T.; Honda, M.; Iima, M.; Watabe, T.; Yanagawa, M.; Nishioka, K.; Sofue, K.; Sakata, A.; Sugawara, S.; Kawamura, M.; Ito, R.; Takumi, K.; Oda, S.; Hirata, K.; Ide, S.; Naganawa, S.",2026,10.1007/s11604-025-01907-1,,5,downloaded,https://doi.org/10.1007/s11604-025-01907-1,,B1-doi-rel5-4
P226,P01_0657,Harnessing Metacognition for Safe and Responsible AI,"Walker, P.B.; Haase, J.J.; Mehalick, M.L.; Steele, C.T.; Russell, D.W.; Davidson, I.N.",2025,10.3390/technologies13030107,,5,downloaded,https://doi.org/10.3390/technologies13030107,,B1-doi-rel5-4
