id,title,authors,year,doi,arxiv_id,abstract,keywords,source_db,journal,url,decision,reason_code,notes,stage,ft_retrieval_status,ft_attempts,ft_pdf_path
P02_0003,SFP: Spurious Feature-Targeted Pruning for Out-of-Distribution Generalization,Yingchun Wang; Jingcai Guo; Song Guo; Yi Liu; Jie Zhang; Weizhan Zhang,2024,10.1145/3664647.3680969,,,"deep neural network, model pruning, module detection, out-of-distribution generalization",ACM:F2,Proceedings of the 32nd ACM International Conference on Multimedia,https://doi.org/10.1145/3664647.3680969,Include,,,abstract,pending,,
P02_0007,Feature-granularity-based spurious correlation and causal analysis in CNNs Exploring Feature Granularity to Uncover Spurious Correlations,Xiaodong Wang; Gaiqun Zhang,2024,10.1145/3702879.3702937,,,"Causal reasoning, Convolutional Neural Networks, interpretability, spurious correlations",ACM:F2,Proceedings of the 2024 2nd International Conference on Internet of Things and Cloud Computing Technology,https://doi.org/10.1145/3702879.3702937,Include,,,abstract,pending,,
P02_0017,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,Qianyu Song; Chao Li; Yeyu Yan; Hui Zhou; Zhongying Zhao; Qingtian Zeng,2026,10.1145/3774904.3792190,,,"graph representation learning, dynamic graph neural networks, distribution shifts, out-of-distribution generalization",ACM:F2,Proceedings of the ACM Web Conference 2026,https://doi.org/10.1145/3774904.3792190,Include,,,abstract,pending,,
P02_0021,Causality and Independence Enhancement for Biased Node Classification,Guoxin Chen; Yongqing Wang; Fangda Guo; Qinglang Guo; Jiangli Shao; Huawei Shen; Xueqi Cheng,2023,10.1145/3583780.3614804,,,"out-of-distribution generalization, node classification, graph neural networks",ACM:F2,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,https://doi.org/10.1145/3583780.3614804,Include,,,abstract,pending,,
P02_0081,Evaluating Out-of-Distribution Robustness of TabPFN on Tabular Data,D. Harijeyan,2025,10.1109/icatc68823.2025.11407733,,"Out-of-distribution (OOD) generalization is a critical challenge in machine learning, especially for tabular data where real-world distributions often differ from training data. TabPFN is a recent transformer-based model that achieves strong performance on small tabular classification tasks by training only on synthetic data. However, its ability to generalize to OOD scenarios in real-world datasets has not been fully explored. In this work, the evaluation of the pre-trained TabPFN model is extended to the UCI Adult dataset, focusing on OOD splits based on education, age, and gender. TabPFN’s performance is compared with traditional models such as Random Forest, XGBoost, and LinearSVC. Experiments show that TabPFN consistently achieves higher accuracy and F1 scores on OOD samples across different demographic splits. Visualizations and statistical analysis are provided to support these findings. This study demonstrates the practical value of TabPFN for robust tabular classification in the presence of distribution shifts, and highlights its potential for real-world applications where fairness and reliability are important.",Metalearning; Training; Accuracy; Statistical analysis; Training data; Transformers; Robustness; Data models; Random forests; Synthetic data; tabular data; classification; out-of-distribution generalization; tabPFN; demographic shift,IEEE:part1,2025 International Conference on Advances in Technology and Computing (ICATC),,Include,,,abstract,pending,,
P02_0082,On the Out-of-Distribution Evaluation of ML-Based End-to-End Communications Systems,M. Akrout; F. Bellili; A. Mezghani; E. Hossain,2024,10.1109/icc51166.2024.10622985,,"Machine learning (ML)-aided wireless communication studies are initiating the investigation of the domain generalization capabilities of deep neural networks (DNNs) when applied to communication problems. They do so by adopting the out-of-distribution (OOD) performance evaluation by comparing it to the in-distribution (ID) performance as usually done within the ML community. In this paper, we demonstrate that such blind adoption can yield a misleading OOD performance analysis of DNNs unless wireless communication metrics are involved in the OOD evaluation. By analyzing the OOD performance of an end-to-end (E2E) ML communication system over additive white Gaussian noise (AWGN) channels in terms of bit error rate (BER), we show that smaller (resp. larger) BER gaps between ID and OOD performance do not necessarily translate into a high (resp. low) reconstruction accuracy. Our results suggest that the comparison between ID and OOD performances is not enough to judge whether the OOD performance is acceptable or not. The ID and OOD performances of E2E communication systems should instead be carried out based on wireless metrics.",Wireless communication; Performance evaluation; AWGN channels; Accuracy; Bit error rate; Machine learning; Artificial neural networks; ML-aided wireless networks; out-of-distribution generalization; domain generalization,IEEE:part1,ICC 2024 - IEEE International Conference on Communications,,Include,,,abstract,pending,,
P02_0087,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions with Superior OOD Generalization,D. Teney; E. Abbasnejad; S. Lucey; A. Van den Hengel,2022,10.1109/cvpr52688.2022.01626,,"Neural networks trained with SGD were recently shown to rely preferentially on linearly-predictive features and can ignore complex, equally-predictive ones. This simplicity bias can explain their lack of robustness out of distribution (OOD). The more complex the task to learn, the more likely it is that statistical artifacts (i.e. selection biases, spurious correlations) are simpler than the mechanisms to learn. We demonstrate that the simplicity bias can be mitigated and OOD generalization improved. We train a set of similar models to fit the data in different ways using a penalty on the alignment of their input gradients. We show theoretically and empirically that this induces the learning of more com-plex predictive patterns. OOD generalization fundamentally requires information beyond i. i.d. examples, such as multiple training environ-ments, counterfactual examples, or other side information. Our approach shows that we can defer this requirement to an independent model selection stage. We obtain SOTA re-sults in visual recognition on biased data and generalization across visual domains. The method - the first to evade the simplicity bias - highlights the need for a better under-standing and control of inductive biases in deep learning.",Training; Representation learning; Deep learning; Visualization; Correlation; Neural networks; Robustness; Representation learning,"IEEE:part1, Scopus:safety, WoS:safety",2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,Include,,,abstract,pending,,
P02_0088,Compositional Generalization in Emergent Communication via Metropolis-Hastings Naming Game with Transformer Language Models,N. L. Hoang; Y. Matsui; A. Taniguchi; T. Taniguchi,2026,10.1109/tcds.2026.3699989,,"Emergent communication (EmCom) investigates how artificial agents collaboratively develop languages that exhibit compositional generalization and message alignment between agents. Existing approaches, such as the Inter-VAE+VAE model employing recurrent neural networks (RNNs), face limitations in compositionality and message alignment. Specifically, the sequential structure of RNNs leads to gradual information loss, making it difficult to consistently encode multiple attributes of referents across message sequences and maintain alignment with agents’ internal conceptual representations. To overcome these limitations, we propose Inter-TLM+VAE, a Transformer-based model integrated into the Metropolis-Hastings Naming Game (MHNG), designed to enhance compositional generalization and message alignment between two agents. Each agent consists of two modules: a Variational Autoencoder (VAE), which encodes visual objects into internal conceptual representations, and a Transformer-based Language Model (TLM), which generates messages conditioned directly on these representations. We evaluate our model on the dSprites and 3DShapes datasets, comparing it against baselines including referential games, reconstruction tasks, and the original Inter-VAE+VAE. Results demonstrate that Inter-TLM+VAE improves both compositionality and interagent alignment on a more complex dataset. An ablation study further reveals that self-attention alone substantially outperforms recurrent architectures across all metrics, while integrating both self- and cross-attention achieves the best overall performance. These findings underscore the role of attention mechanisms in advancing robust EmCom systems within the MHNG framework.",Modeling; Games; Conferences; Learning (artificial intelligence); Architecture; Computer architecture; Transformers; Long short term memory; Attention mechanisms; Information processing; emergent communication; transformer; compositional generalization; Metropolis-Hastings naming game; collective predictive coding,"IEEE:part1, Scopus:safety",IEEE Transactions on Cognitive and Developmental Systems,,Include,,,abstract,pending,,
P02_0092,Data Distributional Properties As Inductive Bias for Systematic Generalization,F. del Rio; A. Raymond-Saez; D. Florea; R. T. Icarte; J. Hurtado; C. B. Calderon; A. Soto,2025,10.1109/cvpr52734.2025.02383,,"Deep neural networks (DNNs) struggle at systematic generalization (SG). Several studies have evaluated the possibility of promoting SG through the proposal of novel architectures, loss functions, or training methodologies. Few studies, however, have focused on the role of training data properties in promoting SG. In this work, we investigate the impact of certain data distributional properties, as inductive biases for the SG ability of a multi-modal language model. To this end, we study three different properties. First, data diversity, instantiated as an increase in the possible values a latent property in the training distribution may take. Second, burstiness, where we probabilistically restrict the number of possible values of latent factors on particular inputs during training. Third, latent intervention, where a particular latent factor is altered randomly during training. We find that all three factors significantly enhance SG, with diversity contributing an 89% absolute increase in accuracy in the most affected property. Through a series of experiments, we test various hypotheses to understand why these properties promote SG. Finally, we find that Normalized Mutual Information (NMI) between latent attributes in the training distribution is strongly predictive of out-of-distribution generalization. We find that a mechanism by which lower NMI induces SG is in the geometry of representations. In particular, we find that NMI induces more parallelism in neural representations (i.e., input features coded in parallel neural vectors) of the model, a property related to the capacity of reasoning by analogy. Our code is available at: https://github.com/fdelrio89/data-systematic",Training; Systematics; Training data; Parallel processing; Brain modeling; Probabilistic logic; Vectors; Pattern recognition; Proposals; Mutual information; systematic generalization; data factors; disentangled representations; compositional generalization; parallel representations; linear representation hypothesis,IEEE:part1,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,Include,,,abstract,pending,,
P02_0093,Dynamic Multi-Path Learning For Out-of-Distribution Node Classification on Heterophilic Graphs,S. Wang; C. Ma; L. Yao; Y. Zheng,2026,10.1109/icassp55912.2026.11461751,,"The performance of graph neural networks often deteriorates significantly when faced with the problem of out-of-distribution generalization, where the test data exhibits distribution shifts from the training data. Recently, several efforts have been made to improve the graph out-of-distribution generalization on homophilic graphs. However, it is still questionable whether existing methods can be effective on heterophilic graphs. To address these challenges, we propose a multi-path gated graph neural network for node-level out-of-distribution classification tasks in heterophilic graphs. Specifically, to effectively suppress irrelevant neighborhood information and reduce spurious correlations, we present a multi-path dynamic gating module composed of k parallel aggregators, in which each path adaptively regulates the feature propagation process through learnable gating functions. Additionally, a graph-level path contrastive loss function is proposed to learn distinct node environment distributions for each path by minimizing inter-path feature distribution similarity and maximizing intra-path feature consistency. Furthermore, we propose an environment probability module-based dynamic fusion mechanism to capture causal ego-subgraph features in heterophilic graphs by adaptively fusing the node features from k paths. Extensive experimental results demonstrate the effectiveness of our proposed method.",Feeds; Broadcasting; Broadcast technology; Filtering; Recommender systems; Filters; Information filtering; Protocols; HTTP; Complex networks; Causal inference; graph neural networks; out-of-distribution generalization; heterophilic graphs; representation learning,IEEE:part1,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,Include,,,abstract,pending,,
