id,decision,reason,note
P02_0703,Include,,OOD generalization of cooperative agents to unseen partners (S1 evidence: ood_nums=10)
P02_0903,Include,,Policy architectures for compositional generalization in control (ood_nums=33)
P02_0939,Include,,Out-of-distribution accuracies via quantization analysis (id_nums=16, ood_nums=27)
P02_0962,Include,,Robust subtask learning for compositional generalization (ood_nums=57)
P02_0967,Include,,Adversarial reward auditing in RL; safety stream; default Include per 6.3.3 (flagged)
P02_0673,Include,,Shortcut learning in physics word problems; OOD generalization (id_nums=19, ood_nums=36)
P02_0797,Include,,Predictable GRPO training dynamics; OOD terms + numbers (flagged)
P02_0746,Exclude,FT7,Title is 'A Survey of Datasets, Benchmarks...' — review paper without original results
P02_0054,Exclude,FT8,Comparative analysis of errors psychology-vs-ML; not an OOD/compositional generalization study
P02_0665,Exclude,FT8,'Composition' of 3D human parts — object-part composition, not compositional generalization (E10 precedent)
P02_0781,Exclude,FT1,PDE neural operator; non-compositional OOD / covariate shift (E8 precedent)
P02_0886,Exclude,FT6,Duplicate of P02_0497 (arXiv 2205.02054v1 = NAACL Findings 2022 version)
P02_0497,Include,,Canonical published version of the duplicate pair (NAACL Findings 2022, DOI 10.18653/v1/2022.findings-naacl.62)
P02_0947,Exclude,FT6,Duplicate of P02_0092 (arXiv version of IEEE paper)
P02_0724,Exclude,FT6,Duplicate of P02_0179 (arXiv version of IEEE paper)
P02_0691,Exclude,FT6,Duplicate of P02_0410 (arXiv version of published paper)
P02_0923,Exclude,FT6,Duplicate of P02_0638 (arXiv title variant of same paper)
P02_1173,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1175,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1176,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1177,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1178,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1179,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1180,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1181,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1182,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1183,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1184,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1185,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1186,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1187,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1188,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1189,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1190,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1191,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1192,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1193,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1194,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1195,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1196,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1197,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1198,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1199,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1200,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1201,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1202,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1203,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1204,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1205,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1206,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1207,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1208,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1209,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1210,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1211,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1212,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1213,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_1214,Exclude,FT8,Record is a conference proceedings volume, not an individual study (screening artifact)
P02_0088,Include,,Compositional generalization in emergent communication (ood_nums=17)
P02_0005,Include,,Robust NN IR with OOD evaluation (id_nums=23, ood_nums=105); flagged
P02_1172,Include,,Learning-to-optimize primer + benchmark; default Include (6.3.3), flagged
P02_0038,Exclude,FT7,Survey of DNN testing
P02_0066,Exclude,FT7,Survey of dataset refinement
P02_0051,Exclude,FT1,Video-analytics edge adaptation; non-compositional OOD (E8)
P02_0074,Exclude,FT1,Contrastive audio-text zero-shot retrieval; non-compositional OOD (E8)
P02_0138,Exclude,FT1,Localization confidence prediction; no OOD/CG split
P02_0380,Exclude,FT1,Physics-guided symbolic regression; non-compositional OOD (E8)
P02_0517,Exclude,FT1,Cascade image-registration method; no OOD/CG split
P02_0092,Include,,Canonical version of duplicate pair (IEEE published; arXiv twin P02_0947 excluded FT6)
P02_0179,Include,,Canonical version of duplicate pair (IEEE published; arXiv twin P02_0724 excluded FT6)
P02_0410,Include,,Canonical version of duplicate pair (published; arXiv twin P02_0691 excluded FT6)
P02_0638,Include,,Canonical version of duplicate pair (arXiv benchmark+primary; twin P02_0923 excluded FT6)
