paper_id,year,publication_type,evidence_basis,citation_count,D1,D6,D2,D3,D4,D5,D7,D8,composite,tier,weight_set,notes,low_credibility,subdomains,sens,sens_tier
P001,2025,review,metadata,28,2,4,3,2,,2,1,3,2.55,B,pos_review,low-evidence: metadata-only | scored:D2=3 | scored:D3=2 | scored:D5=2 | scored:D7=1 | scored:D8=3 | low-evidence: metadata-only | d1:doi_peer | d6:cohort p92,0,value alignment,2.142857142857143,C
P002,2026,theoretical,full-text,0,2,3,3,3,,3,1,3,2.80,B,theoretical,ft_file=The Multi-Agent Off-Switch Game.pdf; pilot=manual-review | pilot-reconcile: D2=3 (Hammond Oxford/CoopAI multi-agent safety track record) | ft_file=The Multi-Agent Off-Switch Game.pdf; pilot=manual-review | d1:proceedings | d6:cohort p77,0,value alignment; robustness; governance,2.714285714285715,B
P003,2026,position,full-text,0,2,3,2,2,,2,2,3,2.30,C,pos_review,"ft_file=Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI.pdf | ai-revised:publication_type=other->position | pilot-reconcile: D7=2 (keynote risks, no formal threat model) | D8=3 (engages trustworthiness lit) | ft_file=Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI.pdf | ai-revised:publication_type=other->position | d1:proceedings | d6:cohort p77",0,value alignment; interpretability; robustness; mesa-optimization; governance; ethics; capabilities,2.2142857142857144,C
P004,2019,opinion,full-text,5,2,1,0,2,,3,2,3,1.95,C,pos_review,ft_file=The necessary roadblock to artificial general intelligence: corrigibility.pdf | ai-revised:publication_type=other->opinion | ft_file=The necessary roadblock to artificial general intelligence: corrigibility.pdf | ai-revised:publication_type=other->opinion | d1:doi_peer | d6:cohort p26 | scored:D2=0 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0,value alignment; robustness; ethics; capabilities,2.5714285714285716,B
P005,2018,theoretical,full-text,1,2,0,2,3,,3,2,4,2.30,C,theoretical,ft_file=Incorrigibility in the CIRL Framework.pdf | ai-revised:publication_type=position->theoretical | ft_file=Incorrigibility in the CIRL Framework.pdf | ai-revised:publication_type=position->theoretical | d1:proceedings | d6:cohort p7 | scored:D2=2 | scored:D3=3 | scored:D5=3 | scored:D7=2 | scored:D8=4,0,value alignment; robustness,2.857142857142857,B
P006,2026,empirical,full-text,1,2,4,1,2,2,3,1,2,2.25,C,empirical,"ft_file=What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety.pdf | ai-revised:methodology=experiment->analysis | ft_file=What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety.pdf | ai-revised:methodology=experiment->analysis | d1:proceedings | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2",0,interpretability; robustness; governance; ethics; capabilities,2.142857142857143,C
P007,2026,position,full-text,0,2,3,2,3,,3,2,4,2.85,B,pos_review,"ft_file=Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem.pdf | ai-revised:publication_type=other->position | ft_file=Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem.pdf | ai-revised:publication_type=other->position | d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=3 | scored:D5=3 | scored:D7=2 | scored:D8=4",0,value alignment; interpretability; robustness; governance; ethics; capabilities,3.0000000000000004,B
P008,2026,review,full-text,0,2,3,2,2,,3,2,4,2.70,B,pos_review,ft_file=Understanding the Process of Human AI Value Alignment.pdf | moved:datasets_used(review) | moved:sample_size(review) | ft_file=Understanding the Process of Human AI Value Alignment.pdf | moved:datasets_used(review) | moved:sample_size(review) | d1:doi_peer | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=4,0,value alignment; interpretability; governance; ethics; capabilities,2.785714285714286,B
P009,2019,position,full-text,11,2,2,4,3,,3,2,4,3.00,B,pos_review,ft_file=Incomplete Contracting and AI Alignment.pdf | ai-revised:publication_type=other->position | moved:formal_framework(none->other) | ft_file=Incomplete Contracting and AI Alignment.pdf | ai-revised:publication_type=other->position | moved:formal_framework(none->other) | d1:proceedings | d6:cohort p46 | scored:D2=4 | scored:D3=3 | scored:D5=3 | scored:D7=2 | scored:D8=4,0,value alignment; robustness; governance; ethics,3.0000000000000004,B
P010,2023,position,full-text,11,2,3,3,2,,3,2,3,2.70,B,pos_review,ft_file=Negative Human Rights as a Basis for Long term AI Safety and Regulation.pdf | ai-revised:publication_type=other->position | ft_file=Negative Human Rights as a Basis for Long term AI Safety and Regulation.pdf | ai-revised:publication_type=other->position | d1:doi_peer | d6:cohort p67 | scored:D2=3 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0,value alignment; interpretability; robustness; governance; ethics; capabilities,2.5714285714285716,B
P011,2026,position,full-text,3,2,4,2,2,,3,2,3,2.70,B,pos_review,ft_file=Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis.pdf | ai-revised:formal_framework=information theory->none | ft_file=Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis.pdf | ai-revised:formal_framework=information theory->none | d1:doi_peer | d6:cohort p97 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0,value alignment; robustness; ethics,2.5714285714285716,B
P012,2026,review,full-text,0,2,3,2,2,,3,1,3,2.50,B,pos_review,ft_file=Teach AI What It Doesn’t Know.pdf | ai-revised:subdomains=value alignment; interpretability; robustness; capabilities->robustness; interpretability | ft_file=Teach AI What It Doesn’t Know.pdf | ai-revised:subdomains=value alignment; interpretability; robustness; capabilities->robustness; interpretability | d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0,robustness; interpretability,2.5,B
P013,2025,empirical,full-text,1,2,2,1,2,2,3,1,2,1.95,C,empirical,ft_file=Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2 | ft_file=Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | d1:proceedings | d6:cohort p51,0,value alignment; robustness; ethics; capabilities,2.142857142857143,C
P014,2026,empirical,full-text,0,2,3,1,2,3,3,1,2,2.30,C,empirical,ft_file=The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini.pdf | ft_file=The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini.pdf | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=3 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,value alignment; robustness; governance; ethics; capabilities,2.428571428571429,B
P015,2026,review,abstract,,2,,1,2,,3,1,2,2.06,C,pos_review,moved:datasets_used(review) | moved:sample_size(review) | moved:effect_sizes(review) | | moved:datasets_used(review) | moved:sample_size(review) | moved:effect_sizes(review) | d1:doi_peer | d6:n/a citation_count missing; AF/LW inbound supplement required (quality-criteria.md §8.2) | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,value alignment; ethics; capabilities,2.285714285714286,C
P016,2026,empirical,full-text,0,2,3,1,2,2,3,2,3,2.20,C,empirical,ft_file=Belief-Driven Value Alignment for Human-Robot Collaboration.pdf | ft_file=Belief-Driven Value Alignment for Human-Robot Collaboration.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0,value alignment; robustness; mesa-optimization,2.285714285714286,C
P017,2026,empirical,full-text,,2,,1,2,2,3,2,3,2.06,C,empirical,ft_file=Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination.pdf | ft_file=Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination.pdf | d1:proceedings | d6:n/a citation_count missing; AF/LW inbound supplement required (quality-criteria.md §8.2) | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0,value alignment; robustness; mesa-optimization; capabilities,2.285714285714286,C
P018,2026,theoretical,full-text,0,2,3,1,2,,3,2,2,2.25,C,theoretical,ft_file=Alignment with Psychological Concept Network.pdf | ai-revised:publication_type=review->theoretical | ft_file=Alignment with Psychological Concept Network.pdf | ai-revised:publication_type=review->theoretical | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=2,0,value alignment; interpretability; robustness; ethics,2.357142857142857,C
P019,2026,empirical,full-text,0,2,3,1,2,2,3,1,2,2.10,C,empirical,ft_file=Data sparse inference of operator spatial reward models in uncertain environments.pdf | ai-revised:publication_type=other->empirical | moved:formal_framework(none->other) | ft_file=Data sparse inference of operator spatial reward models in uncertain environments.pdf | ai-revised:publication_type=other->empirical | moved:formal_framework(none->other) | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,value alignment; interpretability; robustness; capabilities,2.142857142857143,C
P020,2026,review,full-text,0,2,3,1,2,,3,1,2,2.20,C,pos_review,"ft_file=Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints.pdf | ft_file=Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=2",0,value alignment; interpretability; robustness; governance; ethics; capabilities,2.285714285714286,C
P021,2026,other,full-text,0,2,3,2,2,,3,1,3,2.50,B,pos_review,"ft_file=Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures.pdf | ft_file=Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures.pdf | d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3",0,value alignment; interpretability; robustness; governance; ethics; capabilities,2.5,B
P022,2026,empirical,full-text,0,2,3,2,2,2,3,2,3,2.35,C,empirical,ft_file=Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning.pdf | ft_file=Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning.pdf | d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0,value alignment; interpretability; ethics; capabilities,2.285714285714286,C
P023,2025,theoretical,full-text,0,2,0,2,2,,3,1,3,1.95,C,theoretical,ft_file=How Proportional Representation Can Shape Artificial Intelligence.pdf | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3 | ft_file=How Proportional Representation Can Shape Artificial Intelligence.pdf | d1:proceedings | d6:cohort zero citations after grace period,0,value alignment; interpretability; robustness; governance; ethics,2.3571428571428577,C
P024,2026,opinion,abstract,0,2,3,3,2,,3,1,3,2.65,B,pos_review,d1:doi_peer | d6:cohort p77 | scored:D2=3 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0,value alignment; interpretability; governance; ethics; capabilities,2.5,B
P025,2026,review,full-text,4,3,4,1,2,,3,2,2,2.50,B,pos_review,"ft_file=A comprehensive introspection on AI risks: taxonomy, challenges, and future directions.pdf | ft_file=A comprehensive introspection on AI risks: taxonomy, challenges, and future directions.pdf | d1:journal | d6:cohort p100 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=2",0,value alignment; interpretability; robustness; governance; ethics; capabilities,2.5,B
P026,2026,empirical,full-text,0,2,3,1,2,2,3,1,2,2.10,C,empirical,ft_file=Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation.pdf | ft_file=Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,value alignment; robustness; governance; ethics; capabilities,2.142857142857143,C
P027,2026,review,full-text,0,2,3,1,2,,3,1,2,2.20,C,pos_review,ft_file=ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI.pdf | ft_file=ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI.pdf | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,value alignment; interpretability; robustness; governance; ethics,2.285714285714286,C
P028,2026,empirical,full-text,0,2,3,1,2,2,3,1,3,2.15,C,empirical,ft_file=Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models.pdf | ft_file=Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0,value alignment; robustness; ethics; capabilities,2.2142857142857144,C
P029,2026,position,full-text,0,2,3,2,2,,3,2,3,2.55,B,pos_review,ft_file=Justifications for Democratizing AI Alignment and Their Prospects.pdf | ai-revised:publication_type=empirical->position | moved:methodology(position) | ft_file=Justifications for Democratizing AI Alignment and Their Prospects.pdf | ai-revised:publication_type=empirical->position | moved:methodology(position) | d1:doi_peer | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0,value alignment; robustness; governance; ethics,2.5714285714285716,B
P030,2026,other,abstract,0,2,3,3,2,,3,1,3,2.65,B,pos_review,d1:doi_peer | d6:cohort p77 | scored:D2=3 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0,value alignment; robustness; capabilities,2.5,B
P031,2026,empirical,full-text,0,2,3,2,2,1,3,1,3,2.10,C,empirical,ft_file=Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?.pdf | ft_file=Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?.pdf | d1:doi_peer | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D4=1 | scored:D5=3 | scored:D7=1 | scored:D8=3,0,value alignment; robustness; ethics; capabilities,1.9285714285714288,C
P032,2025,empirical,full-text,13,3,4,1,2,2,3,1,3,2.40,B,empirical,ft_file=The specification game: rethinking the evaluation of drug response prediction for precision oncology.pdf | pilot-reconcile: D2=1 (bioinformatics prominence != safety track record) | D4=2 (no released code) | D8=3 (builds on DRP eval lit) | ft_file=The specification game: rethinking the evaluation of drug response prediction for precision oncology.pdf | d1:journal | d6:cohort p87,0,value alignment; interpretability; robustness; governance; ethics; capabilities,2.3571428571428577,C
P033,2026,empirical,full-text,2,2,4,1,2,2,3,1,2,2.25,C,empirical,ft_file=AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations.pdf | ai-revised:methodology=analysis->experiment | ft_file=AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations.pdf | ai-revised:methodology=analysis->experiment | d1:proceedings | d6:cohort p96 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,value alignment; interpretability; robustness; ethics,2.142857142857143,C
