id,title,year,doi,arxiv_id,status,source,pdf_path,decision
P01_0018,AI Alignment: A Contemporary Survey,2025,10.1145/3770749,,paywalled,openalex,,Include
P01_0019,The Multi-Agent Off-Switch Game,2026,10.65109/HQQZ1937,,paywalled,openalex,,Include
P01_0024,Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI: Keynote,2026,10.1145/3801487.3802805,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Kurshan_2026_oa.pdf,Include
P01_0036,The necessary roadblock to artificial general intelligence: corrigibility,2019,10.1145/3362077.3362089,,paywalled,openalex,,Include
P01_0050,Incorrigibility in the CIRL Framework,2018,10.1145/3278721.3278750,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Carey_2018_oa.pdf,Include
P01_0097,"What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety",2026,10.1145/3772318.3791632,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/De_2026_oa.pdf,Uncertain
P01_0113,"Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem",2026,10.1145/3805689.3812420,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/LaCroix_2026_oa.pdf,Include
P01_0154,Understanding the Process of Human-AI Value Alignment,2026,10.1613/jair.1.18846,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/McKinlay_2026_oa.pdf,Uncertain
P01_0162,Incomplete Contracting and AI Alignment,2019,10.1145/3306618.3314250,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Hadfield_Menell_2019_oa.pdf,Include
P01_0165,Negative Human Rights as a Basis for Long-term AI Safety and Regulation,2023,10.1613/jair.1.14020,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Bajgar_2023_oa.pdf,Uncertain
P01_0168,Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis,2026,10.1007/s13347-025-00975-5,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/unknown_2026_oa.pdf,Include
P01_0184,Teach AI What It Doesn’t Know,2026,10.1609/aaai.v40i47.41345,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Du_2026_oa.pdf,Include
P01_0185,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training,2025,10.18653/v1/2025.acl-long.865,,paywalled,openalex,,Include
P01_0186,The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini,2026,10.1177/14614448261449271,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Rauchfleisch_2026_oa.pdf,Include
P01_0188,Philosophical foundations of artificial superintelligence literacy: A scoping review and synthesis,2026,10.1177/14778785261459884,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Tanchuk_2026_oa.pdf,Include
P01_0189,Belief-Driven Value Alignment for Human-Robot Collaboration,2026,10.1609/aaai.v40i21.38809,,no-pdf-foreign,openalex,,Include
P01_0194,Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination,2026,10.65109/CSL07280,,paywalled,openalex,,Include
P01_0195,Alignment with Psychological Concept Network,2026,10.1007/978-981-95-4384-7_36,,paywalled,openalex,,Include
P01_0199,Data sparse inference of operator spatial reward models in uncertain environments,2026,10.3389/frobt.2026.1751002,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Ray_2026_oa.pdf,Include
P01_0202,"Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints",2026,10.1109/ICISS67859.2026.11453907,,retrieved-manual,openalex,"thesis/papers/01-scoping-review/research/pdfs/Assistant, K.R_2026.pdf",Include
P01_0204,"Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures",2026,10.1145/3772363.3778710,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Shen_2026_oa.pdf,Include
P01_0205,Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning,2026,10.65109/NLVD8864,,paywalled,openalex,,Include
P01_0209,Indian Culture and Physical Literacy Philosophical Alignment,2026,10.4324/9781032703466-50,,paywalled,openalex,,Include
P01_0210,How Proportional Representation Can Shape Artificial Intelligence,2025,10.1002/aaai.70044,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Micha_2025_oa.pdf,Include
P01_0211,Contemporary Debates in the Ethics of Artificial Intelligence,2026,10.1002/9781394258840,,paywalled,openalex,,Include
P01_0213,"A comprehensive introspection on AI risks: taxonomy, challenges, and future directions",2026,10.1007/s42044-025-00370-5,,paywalled,openalex,,Uncertain
P01_0214,Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation,2026,10.1145/3796263.3796290,,paywalled,openalex,,Include
P01_0215,ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI,2026,10.1109/ACCESS.2026.3694817,,oa-link-failed,openalex,,Uncertain
P01_0217,Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models,2026,10.1609/aaai.v40i41.40798,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Zhao_2026_oa.pdf,Include
P01_0218,Justifications for Democratizing AI Alignment and Their Prospects,2026,10.1007/978-3-032-07132-3_10,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Steingr_ber_2026_oa.pdf,Include
P01_0219,The Many Faces of AI Alignment,2026,10.1002/9781394258840.ch18,,paywalled-confirmed,openalex,,Include
P01_0220,Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?,2026,10.1007/s10503-026-09704-4,,paywalled,openalex,,Include
P01_0222,The specification game: rethinking the evaluation of drug response prediction for precision oncology,2025,10.1186/s13321-025-00972-y,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Codic_2025_oa.pdf,Include
P01_0223,AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations,2026,10.1145/3772318.3790654,,no-pdf-foreign,openalex,,Include
P01_0224,Towards a societal AI alignment benchmark for evaluating human–machine value convergence,2026,10.1057/s41599-026-07255-3,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Bojic_2026_oa.pdf,Include
P01_0229,"AI and My Values: User Perceptions of LLMs' Ability to Extract, Embody, and Explain Human Values from Casual Conversations",2026,10.1145/3772318.3790566,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Yun_2026_oa.pdf,Include
P01_0231,Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework,2026,10.1016/j.energy.2026.140027,,paywalled,openalex,,Include
P01_0236,Interpretable group gated priority traces for scalarized multi-objective reinforcement learning in autonomous drone operations,2026,10.3389/fbuil.2026.1747709,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Sun_2026_oa.pdf,Include
P01_0237,Towards Aligning Multimodal LLMs with Human Experts: A Focus on Parent-Child Interaction,2026,10.1145/3772318.3791267,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Shi_2026_oa.pdf,Include
P01_0238,Will power-seeking AGIs harm human society?,2026,10.1007/s00146-025-02572-8,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Wang_2026_oa.pdf,Include
P01_0240,A sociotechnological-system approach to AI ethics,2025,10.1007/s00146-025-02335-5,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Riesen_2025_oa.pdf,Include
P01_0245,Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment,2026,10.1109/ISOIRS70157.2026.11545282,,paywalled,openalex,,Include
P01_0248,"Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective",2026,10.1145/3774905.3795091,,paywalled,openalex,,Include
P01_0250,Human-Machine Moral Divergence,2026,10.1007/978-3-032-15112-4_48,,paywalled,openalex,,Uncertain
P01_0251,Parallel Diffusion Solver via Residual Dirichlet Policy Optimization,2026,10.1109/TPAMI.2026.3692227,,paywalled,openalex,,Include
P01_0252,The Power of Stories: Narrative Priming in Networked Multi-Agent LLM Interactions,2026,10.1007/978-3-032-09315-8_11,,paywalled,openalex,,Include
P01_0255,Multi-objective reinforcement learning for designing ethical multi-agent environments,2025,10.1007/s00521-023-08898-y,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Rodriguez_Soto_2025_oa.pdf,Include
P01_0256,Quantitative Analysis Model for Multi-Component Gas Infrared Spectrum Based on the Transformer Structure,2026,10.3788/LOP250829,,paywalled,openalex,,Include
P01_0259,Could We Control Superintelligent AI?,2026,10.1002/9781394258840.ch19,,paywalled-confirmed,openalex,,Include
P01_0261,FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making,2026,10.1609/aaai.v40i21.38819,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Pan_2026_oa.pdf,Include
P01_0262,Reward Hacking Mitigation using Verifiable Composite Rewards,2025,10.1145/3765612.3767230,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Bin_Tarek_2025_oa.pdf,Include
P01_0263,"They Do the Right Thing, Right? Large Language Models’ Decisions in Ethical Dilemmas Involving Robots",2026,10.1007/978-3-032-30846-7_36,,paywalled,openalex,,Include
P01_0264,AI Alignment: The Case for Including Animals,2025,10.1007/s13347-025-00979-1,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Tse_2025_oa.pdf,Include
P01_0265,"A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning",2026,10.1016/j.caeai.2026.100565,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Liu_2026_oa.pdf,Include
P01_0267,NP-Hard Lower Bound Complexity for Semantic Self-Verification,2026,10.18653/v1/2026.eacl-long.60,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Young_2026_oa.pdf,Uncertain
P01_0272,"Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional Contexts",2026,10.1109/AINIT70033.2026.11557612,,retrieved-manual,openalex,thesis/papers/01-scoping-review/research/pdfs/Li_2026.pdf,Include
P01_0273,Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning,2026,10.1609/aaai.v40i40.40675,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Wei_2026_oa.pdf,Include
P01_0274,A Method of Heuristic Human-LLM Collaborative Source Search,2025,10.16182/j.issn1004731x.joss.25-FZ0646E,,paywalled,openalex,,Include
P01_0275,Exploring ‘Value Alignment’: A Genealogy and Three Conceptions,2026,10.1007/978-3-032-13063-1_11,,paywalled,openalex,,Include
P01_0276,Bidirectional transparency in human-agent communications: effects of direction and level of transparency,2026,10.1080/00140139.2025.2456535,,paywalled,openalex,,Uncertain
P01_0278,Heterogeneous Value Alignment Evaluation for Large Language Models,2026,10.1007/978-3-032-00800-8_34,,paywalled,openalex,,Include
P01_0283,A Stance Benchmark for Evaluating Value Alignment in LLMs across Sensitive Domains,2026,10.1145/3804601.3804671,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Liu_2026_oa.pdf,Include
P01_0287,"The phygital intelligence value experience (PHIVE) matrix: the good, the bad, and the ugly of AI marketing for customer experience design",2026,10.1080/0965254X.2026.2682414,,paywalled,openalex,,Uncertain
P01_0291,Communication Enables Cooperation in LLM Agents: A Comparison with Curriculum-Based Approaches,2026,10.18653/v1/2026.eacl-short.23,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Madmoun_2026_oa.pdf,Include
P01_0293,Anthropomorphic traits and user loyalty: exploring the mediating role of perceived value in chatbot usage in China,2026,10.1080/1369118X.2025.2557549,,paywalled,openalex,,Include
P01_0295,LA-EDPO: Length-Aware Effect-Enhanced Direct Preference Optimization,2026,10.1109/ICAACE69793.2026.11508785,,paywalled,openalex,,Include
P01_0301,On Algorithmic Ethics: Examining AI Decision-Making Mechanisms From the Perspective of Kant's Moral Philosophy,2026,10.4018/IJT.413061,,oa-link-failed,openalex,,Uncertain
P01_0306,Human-AI Interaction in LLM,2026,10.1007/978-981-95-3658-0_72,,paywalled,openalex,,Include
P01_0307,LLM ethics benchmark: a three-dimensional assessment system for evaluating moral reasoning in large language models,2025,10.1038/s41598-025-18489-7,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Jiao_2025_oa.pdf,Include
P01_0308,MIRA: An LLM-Driven Dual-Loop Architecture for Metacognitive Reward Design,2025,10.3390/systems13121124,,oa-link-failed,openalex,,Include
P01_0310,"Charting cross-cultural AI perception: An exploratory study of expectations, risk–benefit trade-offs, and values in Germany and China",2026,10.1016/j.actpsy.2026.107094,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Brauner_2026_oa.pdf,Include
P01_0311,High-Dimensional Data Stream Classification: Improving Random Patch Online Ensemble Classifier,2025,10.30880/jscdm.2025.06.03.011,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Bensaoula_2025_oa.pdf,Include
P01_0312,Adaptive Prompt Elicitation for Text-to-Image Generation,2026,10.1145/3742413.3789149,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Wen_2026_oa.pdf,Include
P01_0313,Composable Assurance for AI Alignment: A Framework for Propagating Formal Safety Properties Through MLOps,2026,10.1609/aaai.v40i44.41151,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Zhao_2026_oa.pdf,Include
P01_0319,XAI2Brain: A Perspective on Mechanistic Interpretability for Brain–AI Alignment,2026,10.3390/make8060167,,retrieved-manual,openalex,thesis/papers/01-scoping-review/research/pdfs/Jiang_2026.pdf,Include
P01_0320,Interactionless Inverse Reinforcement Learning: A Data-Centric Framework for Durable Alignment,2026,10.65109/LCMH1709,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Malomgr_2026_oa.pdf,Include
P01_0321,Toward Constitutional Autonomy in AI Systems: A Theoretical Framework for Aligned Agentic Intelligence,2026,10.1109/ACCESS.2026.3654907,,retrieved-manual,openalex,thesis/papers/01-scoping-review/research/pdfs/Torgbi Agbemabiese_2026.pdf,Include
P01_0322,"Governing Generative AI for Healthy Ageing: A Normative Conceptual Framework for Societal Alignment, Epistemic Authority, and Value Convergence in Geriatric Care",2026,10.3390/healthcare14121660,,oa-link-failed,openalex,,Include
P01_0324,Reinforcement Learning With Verifier Guidance and Penalty Shaping for Vietnamese Summarization Using Small Language Models,2026,10.1109/ACCESS.2026.3701952,,oa-link-failed,openalex,,Include
P01_0325,Stability of value perception: minimal influence of framing on moral attributions to a humanoid robot,2026,10.1038/s41598-025-28831-8,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Marchesi_2026_oa.pdf,Include
P01_0327,A data-driven generative strategy to avoid reward hacking in multi-objective molecular design,2025,10.1038/s41467-025-57582-3,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Yoshizawa_2025_oa.pdf,Include
P01_0329,A Mathematical Framework for Wise AI,2026,10.1109/SoutheastCon63549.2026.11476287,,paywalled,openalex,,Include
P01_0334,Research on the Construction and Educational Application of a Comprehensive Ideological and Political Model Based on Value Alignment Reinforcement Learning,2025,10.1145/3770445.3770484,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Zhang_2025_oa.pdf,Include
P01_0335,Generative Artificial Intelligence for Social Impact,2026,10.1109/MIS.2026.3652763,,paywalled,openalex,,Include
P01_0338,Multi-Metric Preference Alignment for Generative Speech Restoration,2026,10.1609/aaai.v40i41.40775,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Zhang_2026_oa.pdf,Include
P01_0339,Are Conversational AI Agents the Way Out? Co-Designing Reader-Oriented News Experiences with Immigrants and Journalists,2026,10.1145/3772318.3791120,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Zhang_2026_oa.pdf,Include
P01_0340,Should LLM Safety be More Than Refusing Harmful Instructions?,2026,10.1007/s10994-026-07107-w,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Maskey_2026_oa.pdf,Uncertain
P01_0343,“Turning right”? An experimental study on the political value shift in large language models,2025,10.1057/s41599-025-04465-z,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Liu_2025_oa.pdf,Include
P01_0345,Generating the language of AI harms: mapping guardrails using critical code studies,2026,10.1007/s00146-026-02922-0,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Ciston_2026_oa.pdf,Include
P01_0346,Non-Ideal Foundations for Preference-Based AI Alignment,2026,10.1007/s13347-026-01102-8,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Pattison_2026_oa.pdf,Include
P01_0349,"The Bateson Game: A Model of Strategic Ambiguity, Frame Uncertainty, and Pathological Learning",2025,10.3390/g16060057,,oa-link-failed,openalex,,Include
P01_0350,A Survey on Autonomy-Induced Security Risks in Large Model-Based Agents,2026,10.1109/TPAMI.2026.3688650,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Su_2026_oa.pdf,Include
P01_0357,Multi-objective reinforcement learning for provably incentivising alignment with value systems,2026,10.1016/j.artint.2025.104460,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Rodriguez_Soto_2026_oa.pdf,Include
P01_0358,Reinforcement Learning from X-Feedback: Recent Advances and Future Prospects,2026,10.11897/SP.J.1016.2026.00497,,paywalled,openalex,,Include
P01_0363,"Fostering AI alignment through blockchain, proof of personhood and zero knowledge proofs",2025,10.1007/s10586-025-05729-8,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Neulinger_2025_oa.pdf,Include
P01_0367,Toward Complementary Intelligence: Integrating Cognitive and Machine AI,2026,10.1177/09637214251407571,,paywalled,openalex,,Include
P01_0372,Machines that halt resolve the undecidability of artificial intelligence alignment,2025,10.1038/s41598-025-99060-2,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Melo_2025_oa.pdf,Include
P01_0373,Few-shot Fine-grained Image Classification with Interpretable Prompt Learning through Distribution Alignment,2025,10.1145/3716553.3750817,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Guo_2025_oa.pdf,Include
P01_0377,Moral disagreement and the limits of AI value alignment: a dual challenge of epistemic justification and political legitimacy,2025,10.1007/s00146-025-02427-2,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Schuster_2025_oa.pdf,Uncertain
P01_0380,AI and disabled people’s independent living: a framework for analysis,2026,10.1007/s00146-025-02642-x,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Mladenov_2026_oa.pdf,Include
P01_0384,RewardHackingAgents: Benchmarking Evaluation Integrity for LLM ML-Engineering Agents,2026,10.1109/ICDEW71238.2026.00009,,paywalled,openalex,,Include
P01_0385,Values in science and AI alignment research,2026,10.1080/0020174X.2026.2615773,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Dung_2026_oa.pdf,Include
P01_0386,Beyond ‘Basic’ AI-Animal Alignment,2026,10.1007/s13347-026-01039-y,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Coghlan_2026_oa.pdf,Include
P01_0387,FormFactory: An Interactive Benchmarking Suite for Multimodal Form-Filling Agents,2025,10.1145/3746027.3758285,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Li_2025_oa.pdf,Include
P01_0389,FROM ENGINEERING ETHICS TO ETHICAL ENGINEERING LEVERAGING AI FOR GOVERNING EMERGING TECHNOLOGIES,2025,10.17323/2587-8719-2025-4-47-67,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Wang_2025_oa.pdf,Include
P01_0391,Moral Anchor System: A Predictive Framework for AI Value Alignment and Drift Prevention,2026,10.1007/978-3-032-30044-7_8,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Ravindran_2026_oa.pdf,Include
P01_0393,The super moral status of artificial superintelligence,2026,10.1007/s11098-026-02572-4,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Llorca_Albareda_2026_oa.pdf,Include
P01_0394,The Unintended Trade-off of AI Alignment: Balancing Hallucination Mitigation and Safety in LLMs This paper contains text that might be offensive.,2026,10.18653/v1/2026.findings-eacl.53,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Mahmoud_2026_oa.pdf,Include
P01_0399,"Survival egoism: we are, they will be",2026,10.1007/s00146-026-02866-5,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Castiglione_Ferrari_2026_oa.pdf,Include
P01_0400,The economics of p(doom): Scenarios of existential risk and economic growth in the age of transformative AI,2026,10.1016/j.econmod.2026.107718,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Growiec_2026_oa.pdf,Include
P01_0405,A Cognitively Plausible Neural-Symbolic Model for Syntactic Disambiguation in Minimalist Grammar,2026,10.5220/0014481700004052,,paywalled,openalex,,Include
P01_0407,Preventing Process Reward Model Hacking When Training Large Language Models on Verifiable Rewards,2026,10.65109/BWFN6920,,paywalled,openalex,,Include
P01_0409,"The Ultimate Consequence: Why Humanity, Not AI, Ends Itself – A Reply to Lavazza and Vilaça",2026,10.1007/s13347-026-01137-x,,paywalled,openalex,,Include
P01_0410,Step-GRPO: Enhancing Reasoning Quality and Efficiency via StructurePRM-Based Reinforcement Learning,2026,10.1609/aaai.v40i37.40441,,no-pdf-foreign,openalex,,Include
P01_0414,Moral Endogeneity in Artificial Intelligence from the Perspective of Moral Development: A Case Study of Large Language Models,2026,10.16719/j.cnki.1671-6981.20260103,,paywalled,openalex,,Include
P01_0416,Reflective Agency vs. Sensorimotor Autonomy in the Debate on the Agency of Artificial Cognitive Systems,2025,10.26913/ava32502,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Tomczyk_2025_oa.pdf,Include
P01_0417,The Roles of Fairness and Effectiveness in Promoting Legitimacy and Cooperation with Security Robotic Authority,2026,10.1145/3757279.3788657,,paywalled,openalex,,Include
P01_0418,Investigating Temperature and Reasoning Effort in AI Alignment with Human Judgment,2026,10.1007/978-3-032-04160-9_18,,paywalled,openalex,,Uncertain
