study_id,title,D1,D2,D3,D4,D5,D6,overall,rule_trace
S001,Graph Representation Learning via Causal Diffusion for Out-of-Distribution Recommendation,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S002,SFP: Spurious Feature-Targeted Pruning for Out-of-Distribution Generalization,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:high
S003,Research on Causal Robustness Enhancement Methods and Out-of-Distribution Generalization for Deep Classification Models,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S004,Robust Neural Information Retrieval: An Adversarial and Out-of-Distribution Perspective,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S005,Feature-granularity-based spurious correlation and causal analysis in CNNs Exploring Feature Granularity to Uncover Spurious Correlations,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S006,Beyond Mimicry: Toward Lifelong Adaptability in Imitation Learning,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S007,Don't Blind Your VLA: Aligning Visual Representations for OOD Generalization,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,D1:unclear;D2:unclear;D3:default;D4:default;D5:unclear;D6:default
S008,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S009,Human Heterogeneity Invariant Stress Sensing,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S010,Causality and Independence Enhancement for Biased Node Classification,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:high
S011,Environment Agnostic Invariant Risk Minimization for Classification of Sequential Datasets,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S012,Causal Disentangled Recommendation against User Preference Shifts,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S013,NILMBENCH2026: A Benchmark for Energy Disaggregation,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S014,,LOW,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:default;D2:unclear;D3:na;D4:default;D5:high;D6:high
S015,A.I. Robustness: a Human-Centered Perspective on Technological Challenges and Opportunities,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S016,A Survey of Model Inversion Attacks: An Interface-Prior Perspective,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S017,AI Alignment: A Contemporary Survey,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S018,Abstraction Alignment: Comparing Model-Learned and Human-Encoded Conceptual Relationships,HIGH,HIGH,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:high;D3:na;D4:high;D5:high;D6:high
S019,Uniformly Distributed Category Prototype-Guided Vision-Language Framework for Long-Tail Recognition,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S020,A Survey of Multilingual Neural Machine Translation,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S021,Contrastive Curriculum Learning for Sequential User Behavior Modeling via Data Augmentation,HIGH,HIGH,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:high;D3:na;D4:high;D5:high;D6:high
S022,Efficient Knowledge Graph Unlearning with Zeroth-order Information,HIGH,HIGH,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:high;D3:default;D4:high;D5:high;D6:default
S023,Neural Dehydration: Effective Erasure of Black-box Watermarks from DNNs with Limited Data,LOW,HIGH,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:default;D2:high;D3:na;D4:default;D5:high;D6:default
S024,Evaluating Out-of-Distribution Robustness of TabPFN on Tabular Data,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S025,On the Out-of-Distribution Evaluation of ML-Based End-to-End Communications Systems,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S026,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions with Superior OOD Generalization,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:low
S027,Compositional Generalization in Emergent Communication via Metropolis-Hastings Naming Game with Transformer Language Models,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S028,Data Distributional Properties As Inductive Bias for Systematic Generalization,UNCLEAR,UNCLEAR,N/A,UNCLEAR,UNCLEAR,HIGH,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:unclear;D6:high
S029,Dynamic Multi-Path Learning For Out-of-Distribution Node Classification on Heterophilic Graphs,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S030,Out-of-Distribution Generalization on Graphs: A Survey,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S031,Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:high
