study_id,id,title,year,venue,architectures,benchmarks,seeds_runs
S001,P02_0002,Graph Representation Learning via Causal Diffusion for Out-of-Distribution Recommendation,2025,Proceedings of the ACM on Web Conference 2025,Transformer-family; CNN; GNN; RL-agent; VAE/AE; Diffusion,none-detected,
S002,P02_0003,SFP: Spurious Feature-Targeted Pruning for Out-of-Distribution Generalization,2024,Proceedings of the 32nd ACM International Conference on Mult,Transformer-family; CNN,Vision; NLP-OOD,
S003,P02_0004,Research on Causal Robustness Enhancement Methods and Out-of-Distribution Generalization for Deep Classification Models,2026,Proceedings of the 2025 6th International Conference on Comp,Transformer-family; CNN; Diffusion,Vision; OOD-CV; NLP-OOD,
S004,P02_0005,Robust Neural Information Retrieval: An Adversarial and Out-of-Distribution Perspective,2025,ACM:F2,Transformer-family; RL-agent; VAE/AE,Math/MW; Vision,
S005,P02_0007,Feature-granularity-based spurious correlation and causal analysis in CNNs Exploring Feature Granularity to Uncover Spurious Correlations,2024,Proceedings of the 2024 2nd International Conference on Inte,Transformer-family; CNN; MLP,Math/MW,
S006,P02_0011,Beyond Mimicry: Toward Lifelong Adaptability in Imitation Learning,2026,Proceedings of the 25th International Conference on Autonomo,Transformer-family; RL-agent,Math/MW; Robotics/RL,
S007,P02_0016,Don't Blind Your VLA: Aligning Visual Representations for OOD Generalization,2026,Proceedings of the 25th International Conference on Autonomo,Transformer-family; MLP; RL-agent; Diffusion,Math/MW; Vision,
S008,P02_0017,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,2026,Proceedings of the ACM Web Conference 2026,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE,none-detected,
S009,P02_0018,Human Heterogeneity Invariant Stress Sensing,2025,ACM:F2,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE,Math/MW,
S010,P02_0021,Causality and Independence Enhancement for Biased Node Classification,2023,Proceedings of the 32nd ACM International Conference on Info,Transformer-family; CNN; MLP; GNN; Diffusion,Math/MW,
