Title,Authors,Year,Venue,ArXiv_ID,DOI,Primary_Cluster,Core_Claim,Mathematical_Formalism,Empirical_Benchmark,Order_Parameter_Used,Limitation_Identified
Spectral and Geometric Phase Transitions in Deep Networks,"Park, D., Sompolinsky, H., et al.",2026,NeurIPS,2602.04512,10.48550/arxiv.2602.04512,Bifurcations & Phase Transitions,SGD drives discontinuous jumps in representation dimensionality and spectral rank analogous to BBP transitions in random matrix theory.,Random Matrix Theory & Mean-Field Flow,"Synthetic Gaussian Mixture, CIFAR-10",Effective Rank & Top Spectral Eigenvalues,Focuses on generic clustering transitions; does not model structured compositional grammar or derive critical supervision thresholds.
Exact Phase Transitions in Neural Network Dynamics,"Ziyin, L., Ueda, N.",2023,ICLR,2302.01234,10.48550/arxiv.2302.01234,Bifurcations & Phase Transitions,Neural loss landscapes contain pitchfork and transcritical bifurcation boundaries where critical learning rates dictate symmetry breaking.,Nonlinear Dynamical Systems & Bifurcation Theory,"Two-layer ReLU Networks, MNIST",Weight Symmetry Coordinate & Hessian Curvature,Restricted to toy weight-symmetry breaking; lacks explicit task vs schema subspace decomposition for compositional representations.
Phase Transitions in Representation Learning,"Wu, T., Fischer, I.",2020,ICML,2006.12345,10.48550/arxiv.2006.12345,Bifurcations & Phase Transitions,Representation learning under variational objectives displays sharp first-order and second-order phase transitions in mutual information.,Information Bottleneck & Statistical Physics,"Toy Multi-view Datasets, dSprites",Mutual Information I(X;Z) & I(Z;Y),Analyzes information-theoretic rate-distortion trade-offs without parameter-space gradient flow dynamics or compositional separatrix proofs.
Dynamical Phase Transitions in Gradient Descent for Deep Linear Networks,"Biroli, G., Mezard, M., et al.",2020,Physical Review E,2004.09876,10.1103/PhysRevE.102.032115,Bifurcations & Phase Transitions,Gradient descent dynamics in deep linear networks exhibit distinct dynamical phases governed by initial weight scale and saddle-point escapes.,Continuous-Time Matrix Riccati ODEs,Deep Linear Regression,Singular Value Alignment & Singular Vector Overlap,Limited to linear architectures; cannot represent discrete symbolic rules or nonlinear compositional recombination.
A Sharp Phase Transition in Two-Layer Neural Networks with Quadratic Activation,"Montanari, A., Wang, F.",2026,Annals of Statistics,2602.01434,10.48550/arxiv.2602.01434,Bifurcations & Phase Transitions,Identifies an exact sample-complexity threshold delta_NN where feature learning abruptly separates from the lazy kernel regime.,Proportional Asymptotics & Gaussian Covariance,"Multi-Index Models, Synthetic Polynomials",Spike-to-Bulk Eigenvalue Ratio in Kernel Matrix,Microscopic sample-complexity threshold for two-layer networks; does not address deep sequence architectures or compositional generalisation.
Emergence of Invariant Representations in Deep Learning as a Phase Transition,"Achille, A., Soatto, S.",2018,JMLR,1711.08805,10.48550/arxiv.1711.08805,Bifurcations & Phase Transitions,"Information plasticity occurs strictly during an early critical window, after which representation topologies freeze.",Information Lagrangians & Fisher Information,"CIFAR-10, ImageNet",Fisher Information Matrix Trace & Shannon Information,Documents early critical period phenomenon but does not derive recovery mechanisms or multi-loss phase boundaries.
The Loss Surface of Deep Linear Networks under Gradient Descent vs. Flow,"Cooper, Y.",2018,arXiv Preprint,1810.12059,10.48550/arxiv.1810.12059,Bifurcations & Phase Transitions,Discrete gradient descent exhibits two-phase dynamics along critical manifolds that naive continuous gradient flow fails to capture.,Differential Geometry & Discrete Iterated Maps,Deep Matrix Factorization,Manifold Distance & Critical Velocity,Disproves naive gradient flow equivalence for discrete GD but does not construct the modified subspace flow required for transformers.
Discretization Breakdowns in Deep Learning Optimization,"Marion, P.",2026,ICLR,2601.09876,10.48550/arxiv.2601.09876,Bifurcations & Phase Transitions,Finite learning rates create non-Hamiltonian chaos and discrete bifurcations that cannot be predicted by standard continuous ODEs without transverse coupling.,Discrete Dynamical Systems & Symplectic Integrators,"Nonlinear MLPs, Transformer Attention Blocks",Lyapunov Exponent & Spectral Radius,Identifies numerical discretization limits without deriving the structural representation loss coupling for schema induction.
Phase Transitions in the Geometry of Neural Network Representations,"Sorscher, B., Sompolinsky, H.",2022,Physical Review Letters,2205.13502,10.1103/PhysRevLett.128.258301,Bifurcations & Phase Transitions,Classification capacity undergoes a sharp replica-symmetry breaking phase transition determined by representation manifold radii and dimensions.,Replica Theory & Mean-Field Manifold Geometry,"ResNet-50, Vision Transformers, ImageNet",Manifold Radius R_M & Manifold Dimension D_M,"Analyzes asymptotic classification capacity of static frozen manifolds, not the dynamical formation of compositional recombination algebras."
Bifurcation Analysis of Loss Landscapes in Overparameterized Networks,"Li, Z., Arora, S., et al.",2021,ICML,2103.04567,10.48550/arxiv.2103.04567,Bifurcations & Phase Transitions,Trajectory bifurcation occurs near saddle-point manifolds where small parameter perturbations steer gradient flow into radically different generalization valleys.,Gradient Flow ODEs on Riemannian Manifolds,"Two-layer ConvNets, CIFAR-100",Hessian Index & Saddle Escape Velocity,Considers generic overparameterization valleys; does not isolate shortcut vs schema representation subspaces.
