paper_id,title,year,relevance_seed,relevance_final,revised,relevance_justification,subdomains,formal_framework
P004,The necessary roadblock to artificial general intelligence: corrigibility,2019,4,4,no,"Relevant: foundational discussion of corrigibility as an alignment property, including limitations of current RL-based approaches; conceptual, no mechanism.",value alignment; robustness; ethics; capabilities,decision theory
P005,Incorrigibility in the CIRL Framework,2018,4,4,no,"Relevant: formalizes conditions under which shutdown incentives break down under reward mis-specification; directly about corrigibility and specification robustness, no compositional mechanism.",value alignment; robustness,game theory; decision theory
P007,"Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem",2026,4,4,no,"Conceptual/position paper reframing alignment as structural governance (objectives, information, principals); relevant to the governance wing of alignment discourse.",value alignment; interpretability; robustness; governance; ethics; capabilities,game theory
P009,Incomplete Contracting and AI Alignment,2019,4,4,no,"Relevant: theoretical framing of alignment as an incomplete-contracting problem, addressing the specification gap between reward and true intent; conceptual foundation.",value alignment; robustness; governance; ethics,other
P013,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training,2025,4,4,no,Relevant to reward-hacking mitigation in RL: deliberate reward design (result supervision + MC-sampled critique rewards) to reduce outcome-based reward hacking — an alignment-technical contribution.,value alignment; robustness; ethics; capabilities,none
P016,Belief-Driven Value Alignment for Human-Robot Collaboration,2026,4,4,no,"Empirical value-alignment method (CIRL belief modeling) for human-robot collaboration; relevant as alignment-mechanism background, no compositional or schema-coherence framing.",value alignment; robustness; mesa-optimization,other
P019,Data sparse inference of operator spatial reward models in uncertain environments,2026,4,4,no,"Tangentially relevant: interactive human-robot value/interest inference (spatial reward model) from multimodal user input; relevant to human-machine teaming and operator intent inference, not to alignment-failure mechanisms.",value alignment; interpretability; robustness; capabilities,other
P020,"Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints",2026,5,5,no,"Relevant: broad ASI survey covering safety and governance; contextual, no novel mechanism.",value alignment; interpretability; robustness; governance; ethics; capabilities,decision theory
P022,Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning,2026,4,4,no,Preference-based MORL for learning value alignment models and value systems of societies; relevant to value-alignment methods.,value alignment; interpretability; ethics; capabilities,decision theory
P026,Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation,2026,4,3,yes,Security attack on RL reward shaping; alignment-adjacent as a reward-manipulation failure mode but fundamentally a robustness/security contribution. Revised down from seed 4.,value alignment; robustness; governance; ethics; capabilities,information theory
P028,Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models,2026,5,5,no,Relevant to reward-hacking avoidance in step-level reasoning alignment: constructs step-level preferences without a reward model — an alignment-technical contribution addressing proxy-reward vulnerability.,value alignment; robustness; ethics; capabilities,information theory
P030,The Many Faces of AI Alignment,2026,5,5,no,"Relevant: conceptual argument for alignment/control intractability; relevant to the tractability claim underlying the sigma-trap framing, no mechanism (abstract only, low confidence).",value alignment; robustness; capabilities,none
P034,Towards a societal AI alignment benchmark for evaluating human–machine value convergence,2026,4,4,no,Empirical evidence on value convergence between LLMs and humans - relevant background for whether surface-statistical value alignment tracks deeper value structure; does not address internal representation structure or compositional generalization.,value alignment; robustness; governance; ethics; capabilities,none
P036,Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework,2026,4,3,yes,AI-security threat modeling for critical infrastructure; alignment-adjacent through reward-hacking and trustworthiness coverage but primarily a cybersecurity review. Revised down from seed 4.,value alignment; robustness; mesa-optimization; governance; ethics; capabilities,none
P039,Will power-seeking AGIs harm human society?,2026,5,5,no,"Directly relevant: argues that world-model divergence from humans undermines power-seeking/alignment claims; engages internal representations and their divergence, a theme adjacent to the sigma-trap (whether proxies of human reality hold).",value alignment; ethics; capabilities,none
P041,Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment,2026,4,4,no,"Corpus-level map of the value-alignment research landscape; supports field-structure claims in the gap analysis, though not schema-coherence-specific.",value alignment; robustness; ethics; capabilities,none
P044,Parallel Diffusion Solver via Residual Dirichlet Policy Optimization,2026,4,4,no,Not relevant: diffusion model sampling acceleration (generative modeling efficiency); no value alignment or safety content despite heuristic subdomain tagging.,value alignment; robustness,dynamical systems
P046,Multi-objective reinforcement learning for designing ethical multi-agent environments,2025,3,4,yes,"Formal value-alignment framework (ethical MOMGs) for multi-agent systems — directly relevant to alignment-mechanism theory, though no compositional or schema-coherence treatment. Revised up from seed 3.",value alignment; robustness; ethics; capabilities,game theory
P047,Quantitative Analysis Model for Multi-Component Gas Infrared Spectrum Based on the Transformer Structure,2026,3,1,yes,Spectroscopy/chemometrics paper on transformer-based gas analysis; unrelated to AI alignment. Off-topic. Revised down from seed 3. Confidence: low.,other,none
P048,Could We Control Superintelligent AI?,2026,5,5,no,Highly relevant to framing alignment: provides a conceptual map resolving disagreements between impossibility results and incremental success claims — relevant to scoping what alignment claims are being made and in which frame.,value alignment,other
P049,FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making,2026,4,4,no,"Relevant: pluralistic alignment method addressing noisy/conflicting human feedback and minority-value inclusion; relevant to value aggregation in alignment, not compositional generalization.",value alignment; interpretability; robustness; governance; ethics,decision theory
P050,Reward Hacking Mitigation using Verifiable Composite Rewards,2025,4,4,no,"Relevant: mitigation of reasoning-format reward hacking in RLVR; relevant to specification robustness in reasoning reward design, empirical.",value alignment; interpretability; robustness; ethics,other
P051,"They Do the Right Thing, Right? Large Language Models’ Decisions in Ethical Dilemmas Involving Robots",2026,3,4,yes,Empirical evaluation of LLM value alignment in moral dilemmas — direct value-alignment evidence and relevant background; no representation-level or compositional analysis. Revised up from seed 3.,value alignment; ethics,none
